resident_id,age_band,gender,region,planning_area
RESIDENT_00084,30-39,F,North,Woodlands
RESIDENT_00085,70+,F,East,Tampines
RESIDENT_00086,50-59,M,East,Tampines
RESIDENT_00087,50-59,F,East,Bedok
RESIDENT_00088,30-39,M,East,Bedok
RESIDENT_00089,40-49,M,Central,Bukit Merah
RESIDENT_00090,30-39,M,West,Bukit Batok
RESIDENT_00091,60-69,M,North-East,Hougang
RESIDENT_00092,30-39,F,North-East,Sengkang
RESIDENT_00093,50-59,M,North-East,Punggol
RESIDENT_00094,30-39,M,East,Pasir Ris
RESIDENT_00095,30-39,F,East,Pasir Ris
RESIDENT_00096,40-49,M,North-East,Punggol
RESIDENT_00097,40-49,F,North-East,Sengkang
RESIDENT_00098,70+,M,Central,Toa Payoh
RESIDENT_00099,50-59,F,West,Clementi
RESIDENT_00100,40-49,M,North-East,Punggol
RESIDENT_00101,60-69,F,East,Pasir Ris
RESIDENT_00102,50-59,F,North-East,Hougang
RESIDENT_00103,60-69,F,East,Bedok
RESIDENT_00104,30-39,M,North,Yishun
RESIDENT_00105,60-69,M,North,Yishun
RESIDENT_00106,18-29,F,North-East,Punggol
RESIDENT_00107,60-69,F,Central,Bishan
RESIDENT_00108,30-39,F,West,Clementi
RESIDENT_00109,70+,M,West,Bukit Batok
RESIDENT_00110,50-59,F,East,Bedok
RESIDENT_00111,18-29,M,West,Bukit Batok
RESIDENT_00112,70+,F,North-East,Hougang
RESIDENT_00113,50-59,M,Central,Bukit Merah
RESIDENT_00114,60-69,M,West,Bukit Batok
RESIDENT_00115,40-49,M,Central,Bishan
RESIDENT_00116,18-29,M,North-East,Sengkang
RESIDENT_00117,40-49,M,East,Pasir Ris
RESIDENT_00118,40-49,M,North-East,Punggol
RESIDENT_00119,30-39,M,Central,Bishan
RESIDENT_00120,50-59,M,West,Clementi
RESIDENT_00121,30-39,F,North,Yishun
RESIDENT_00122,30-39,M,North,Sembawang
RESIDENT_00123,18-29,M,East,Tampines
RESIDENT_00124,50-59,M,North-East,Punggol
RESIDENT_00125,30-39,M,Central,Bukit Merah
RESIDENT_00126,30-39,M,West,Clementi
RESIDENT_00127,30-39,M,North,Yishun
RESIDENT_00128,18-29,F,East,Tampines
RESIDENT_00129,30-39,M,East,Tampines
RESIDENT_00130,30-39,F,West,Jurong West
RESIDENT_00131,30-39,F,North,Sembawang
RESIDENT_00132,18-29,F,North,Sembawang
RESIDENT_00133,18-29,F,North-East,Sengkang
RESIDENT_00134,40-49,F,North-East,Hougang
RESIDENT_00135,60-69,M,Central,Toa Payoh
RESIDENT_00136,30-39,M,Central,Bishan
RESIDENT_00137,60-69,F,West,Bukit Batok
RESIDENT_00138,30-39,M,North-East,Punggol
RESIDENT_00139,70+,F,West,Jurong West
RESIDENT_00140,50-59,F,North,Woodlands
RESIDENT_00141,30-39,M,Central,Toa Payoh
RESIDENT_00142,18-29,M,North,Sembawang
RESIDENT_00143,50-59,M,Central,Bukit Merah
RESIDENT_00144,18-29,F,North-East,Sengkang
RESIDENT_00145,18-29,F,East,Tampines
RESIDENT_00146,40-49,M,North,Sembawang
RESIDENT_00147,40-49,M,North,Yishun
RESIDENT_00148,50-59,M,North-East,Hougang
RESIDENT_00149,50-59,F,West,Bukit Batok
RESIDENT_00150,18-29,F,West,Clementi
RESIDENT_00151,30-39,M,North,Sembawang
RESIDENT_00152,40-49,M,Central,Toa Payoh
RESIDENT_00153,30-39,M,East,Tampines
RESIDENT_00154,18-29,F,West,Clementi
RESIDENT_00155,70+,M,Central,Bukit Merah
RESIDENT_00156,40-49,F,West,Jurong West
RESIDENT_00157,60-69,M,West,Jurong West
RESIDENT_00158,18-29,M,West,Clementi
RESIDENT_00159,18-29,F,Central,Bukit Merah
RESIDENT_00160,18-29,M,West,Jurong West
RESIDENT_00161,70+,F,North-East,Punggol
RESIDENT_00162,50-59,M,West,Clementi
RESIDENT_00163,40-49,M,North-East,Hougang
RESIDENT_00164,60-69,M,East,Tampines
RESIDENT_00165,60-69,M,North,Sembawang
RESIDENT_00166,70+,M,West,Jurong West
RESIDENT_00167,30-39,M,North-East,Punggol
RESIDENT_00168,50-59,F,East,Tampines
RESIDENT_00169,50-59,M,North-East,Punggol
RESIDENT_00170,70+,F,North-East,Sengkang
RESIDENT_00171,60-69,M,Central,Bishan
RESIDENT_00172,50-59,M,Central,Bukit Merah
RESIDENT_00173,60-69,M,North-East,Punggol
RESIDENT_00174,60-69,M,Central,Toa Payoh
RESIDENT_00175,18-29,F,West,Jurong West
RESIDENT_00176,50-59,M,East,Bedok
RESIDENT_00177,30-39,M,North-East,Hougang
RESIDENT_00178,30-39,M,Central,Toa Payoh
RESIDENT_00179,40-49,F,West,Jurong West
RESIDENT_00180,60-69,F,West,Clementi
RESIDENT_00181,40-49,M,East,Tampines
RESIDENT_00182,70+,F,North-East,Hougang
RESIDENT_00183,30-39,M,West,Bukit Batok
RESIDENT_00184,30-39,M,North,Yishun
RESIDENT_00185,50-59,M,North-East,Sengkang
RESIDENT_00186,30-39,F,North-East,Sengkang
RESIDENT_00187,60-69,F,North,Sembawang
RESIDENT_00188,50-59,M,East,Pasir Ris
RESIDENT_00189,70+,F,Central,Toa Payoh
RESIDENT_00190,50-59,F,Central,Bishan
RESIDENT_00191,30-39,F,North-East,Sengkang
RESIDENT_00192,70+,F,West,Clementi
RESIDENT_00193,50-59,M,North,Woodlands
RESIDENT_00194,60-69,F,East,Pasir Ris
RESIDENT_00195,30-39,M,West,Jurong West
RESIDENT_00196,40-49,M,Central,Bukit Merah
RESIDENT_00197,50-59,M,Central,Bishan
RESIDENT_00198,70+,F,North,Sembawang
RESIDENT_00199,50-59,F,North,Woodlands
RESIDENT_00200,70+,F,North,Woodlands
RESIDENT_00201,40-49,M,East,Pasir Ris
RESIDENT_00202,50-59,F,North-East,Punggol
RESIDENT_00203,50-59,M,North-East,Hougang
RESIDENT_00204,40-49,F,East,Tampines
RESIDENT_00205,70+,M,West,Jurong West
RESIDENT_00206,70+,M,East,Bedok
RESIDENT_00207,70+,F,West,Clementi
RESIDENT_00208,30-39,F,West,Bukit Batok
RESIDENT_00209,60-69,F,North,Yishun
RESIDENT_00210,40-49,F,East,Bedok
RESIDENT_00211,18-29,F,East,Pasir Ris
RESIDENT_00212,30-39,F,East,Pasir Ris
RESIDENT_00213,50-59,M,Central,Toa Payoh
RESIDENT_00214,50-59,M,West,Bukit Batok
RESIDENT_00215,30-39,F,West,Jurong West
RESIDENT_00216,50-59,M,North-East,Sengkang
RESIDENT_00217,30-39,F,Central,Bishan
RESIDENT_00218,50-59,M,West,Clementi
RESIDENT_00219,40-49,M,North,Woodlands
RESIDENT_00220,50-59,F,West,Clementi
RESIDENT_00221,30-39,M,North-East,Punggol
RESIDENT_00222,40-49,M,North,Yishun
RESIDENT_00223,18-29,F,Central,Bishan
RESIDENT_00224,60-69,F,North,Sembawang
RESIDENT_00225,50-59,M,North,Yishun
RESIDENT_00226,70+,M,Central,Toa Payoh
RESIDENT_00227,30-39,M,West,Jurong West
RESIDENT_00228,60-69,M,North,Woodlands
RESIDENT_00229,30-39,M,West,Bukit Batok
RESIDENT_00230,50-59,M,Central,Bishan
RESIDENT_00231,70+,M,North,Woodlands
RESIDENT_00232,50-59,F,West,Jurong West
RESIDENT_00233,50-59,F,Central,Toa Payoh
RESIDENT_00234,30-39,M,North,Sembawang
RESIDENT_00235,18-29,F,West,Jurong West
RESIDENT_00236,30-39,M,Central,Toa Payoh
RESIDENT_00237,30-39,F,North-East,Punggol
RESIDENT_00238,50-59,M,North,Sembawang
RESIDENT_00239,30-39,F,Central,Bishan
RESIDENT_00240,60-69,M,East,Tampines
RESIDENT_00241,40-49,M,Central,Bishan
RESIDENT_00242,50-59,M,West,Jurong West
RESIDENT_00243,18-29,F,North-East,Punggol
RESIDENT_00244,40-49,M,West,Clementi
RESIDENT_00245,70+,F,Central,Bukit Merah
RESIDENT_00246,40-49,F,Central,Bishan
RESIDENT_00247,18-29,M,West,Bukit Batok
RESIDENT_00248,60-69,F,North,Sembawang
RESIDENT_00249,40-49,M,West,Clementi
RESIDENT_00250,18-29,M,East,Bedok
RESIDENT_00251,30-39,M,Central,Toa Payoh
RESIDENT_00252,40-49,M,West,Bukit Batok
RESIDENT_00253,18-29,M,North-East,Sengkang
RESIDENT_00254,18-29,F,West,Clementi
RESIDENT_00255,18-29,M,Central,Bishan
RESIDENT_00256,50-59,M,West,Clementi
RESIDENT_00257,40-49,F,Central,Toa Payoh
RESIDENT_00258,30-39,F,West,Clementi
RESIDENT_00259,40-49,F,Central,Bishan
RESIDENT_00260,40-49,F,North-East,Punggol
RESIDENT_00261,40-49,M,North-East,Sengkang
RESIDENT_00262,18-29,F,North,Sembawang
RESIDENT_00263,30-39,F,North,Yishun
RESIDENT_00264,70+,M,East,Pasir Ris
RESIDENT_00265,50-59,F,East,Tampines
RESIDENT_00266,60-69,F,North,Sembawang
RESIDENT_00267,30-39,M,West,Clementi
RESIDENT_00268,70+,M,North,Woodlands
RESIDENT_00269,18-29,F,East,Pasir Ris
RESIDENT_00270,18-29,M,West,Bukit Batok
RESIDENT_00271,30-39,F,East,Pasir Ris
RESIDENT_00272,30-39,F,North-East,Punggol
RESIDENT_00273,30-39,F,North-East,Punggol
RESIDENT_00274,30-39,M,East,Tampines
RESIDENT_00275,40-49,M,North-East,Hougang
RESIDENT_00276,18-29,M,West,Jurong West
RESIDENT_00277,40-49,F,North,Sembawang
RESIDENT_00278,30-39,F,Central,Toa Payoh
RESIDENT_00279,60-69,F,East,Bedok
RESIDENT_00280,70+,M,North,Woodlands
RESIDENT_00281,30-39,F,North,Yishun
RESIDENT_00282,70+,M,North,Woodlands
RESIDENT_00283,70+,M,North,Sembawang
RESIDENT_00284,40-49,F,North-East,Hougang
RESIDENT_00285,60-69,M,East,Bedok
RESIDENT_00286,30-39,F,East,Bedok
RESIDENT_00287,18-29,M,Central,Bukit Merah
RESIDENT_00288,50-59,F,West,Clementi
RESIDENT_00289,30-39,M,West,Jurong West
RESIDENT_00290,70+,F,West,Bukit Batok
RESIDENT_00291,40-49,M,West,Clementi
RESIDENT_00292,30-39,F,North,Yishun
RESIDENT_00293,30-39,F,North,Sembawang
RESIDENT_00294,18-29,M,East,Pasir Ris
RESIDENT_00295,50-59,F,North-East,Hougang
RESIDENT_00296,30-39,F,Central,Bishan
RESIDENT_00297,40-49,M,North,Yishun
RESIDENT_00298,30-39,F,North,Sembawang
RESIDENT_00299,60-69,M,Central,Toa Payoh
RESIDENT_00300,30-39,F,North-East,Punggol
RESIDENT_00301,70+,M,North,Woodlands
RESIDENT_00302,40-49,F,Central,Bukit Merah
RESIDENT_00303,18-29,M,Central,Toa Payoh
RESIDENT_00304,50-59,M,East,Tampines
RESIDENT_00305,70+,M,West,Bukit Batok
RESIDENT_00306,50-59,M,Central,Toa Payoh
RESIDENT_00307,18-29,M,Central,Bishan
RESIDENT_00308,60-69,M,East,Tampines
RESIDENT_00309,50-59,M,Central,Toa Payoh
RESIDENT_00310,50-59,M,Central,Toa Payoh
RESIDENT_00311,70+,F,East,Pasir Ris
RESIDENT_00312,40-49,F,West,Clementi
RESIDENT_00313,30-39,M,North-East,Sengkang
RESIDENT_00314,18-29,F,Central,Toa Payoh
RESIDENT_00315,60-69,M,Central,Bukit Merah
RESIDENT_00316,40-49,M,West,Jurong West
RESIDENT_00317,40-49,F,North,Woodlands
RESIDENT_00318,60-69,F,East,Tampines
RESIDENT_00319,40-49,F,North,Sembawang
RESIDENT_00320,40-49,M,North,Sembawang
RESIDENT_00321,18-29,M,West,Bukit Batok
RESIDENT_00322,50-59,M,North-East,Hougang
RESIDENT_00323,30-39,F,West,Clementi
RESIDENT_00324,40-49,M,Central,Bishan
RESIDENT_00325,30-39,M,East,Bedok
RESIDENT_00326,30-39,M,West,Bukit Batok
RESIDENT_00327,50-59,F,West,Jurong West
RESIDENT_00328,18-29,F,West,Jurong West
RESIDENT_00329,50-59,M,North,Sembawang
RESIDENT_00330,60-69,M,North-East,Sengkang
RESIDENT_00331,60-69,M,East,Tampines
RESIDENT_00332,30-39,M,Central,Toa Payoh
RESIDENT_00333,50-59,M,North,Sembawang
RESIDENT_00334,18-29,M,North-East,Sengkang
RESIDENT_00335,30-39,F,North,Yishun
RESIDENT_00336,18-29,M,East,Tampines
RESIDENT_00337,70+,F,East,Tampines
RESIDENT_00338,60-69,M,East,Pasir Ris
RESIDENT_00339,40-49,F,North,Yishun
RESIDENT_00340,30-39,M,East,Bedok
RESIDENT_00341,50-59,M,North-East,Punggol
RESIDENT_00342,40-49,M,Central,Bukit Merah
RESIDENT_00343,18-29,F,North,Sembawang
RESIDENT_00344,40-49,F,North,Yishun
RESIDENT_00345,30-39,F,West,Jurong West
RESIDENT_00346,60-69,M,North,Sembawang
RESIDENT_00347,50-59,M,East,Pasir Ris
RESIDENT_00348,18-29,M,Central,Toa Payoh
RESIDENT_00349,50-59,F,East,Tampines
RESIDENT_00350,40-49,M,East,Pasir Ris
RESIDENT_00351,40-49,M,West,Clementi
RESIDENT_00352,30-39,F,North,Yishun
RESIDENT_00353,50-59,M,Central,Bukit Merah
RESIDENT_00354,30-39,F,West,Bukit Batok
RESIDENT_00355,50-59,M,West,Jurong West
RESIDENT_00356,50-59,F,Central,Bishan
RESIDENT_00357,40-49,M,North,Sembawang
RESIDENT_00358,60-69,M,West,Bukit Batok
RESIDENT_00359,40-49,M,East,Pasir Ris
RESIDENT_00360,30-39,F,North-East,Punggol
RESIDENT_00361,30-39,M,West,Bukit Batok
RESIDENT_00362,30-39,M,East,Bedok
RESIDENT_00363,50-59,M,East,Tampines
RESIDENT_00364,70+,M,West,Clementi
RESIDENT_00365,40-49,M,West,Clementi
RESIDENT_00366,18-29,F,North,Yishun
RESIDENT_00367,30-39,M,North-East,Sengkang
RESIDENT_00368,18-29,F,East,Bedok
RESIDENT_00369,50-59,F,East,Bedok
RESIDENT_00370,18-29,F,North-East,Hougang
RESIDENT_00371,50-59,M,North-East,Punggol
RESIDENT_00372,30-39,F,North,Woodlands
RESIDENT_00373,40-49,F,East,Bedok
RESIDENT_00374,70+,M,Central,Toa Payoh
RESIDENT_00375,18-29,F,Central,Toa Payoh
RESIDENT_00376,40-49,F,West,Bukit Batok
RESIDENT_00377,60-69,M,East,Bedok
RESIDENT_00378,50-59,F,North,Sembawang
RESIDENT_00379,50-59,F,West,Jurong West
RESIDENT_00380,40-49,F,North-East,Punggol
RESIDENT_00381,70+,M,East,Tampines
RESIDENT_00382,40-49,M,North,Yishun
RESIDENT_00383,50-59,F,West,Clementi
RESIDENT_00384,18-29,F,East,Tampines
RESIDENT_00385,50-59,M,North-East,Sengkang
RESIDENT_00386,50-59,F,North,Woodlands
RESIDENT_00387,50-59,M,North-East,Punggol
RESIDENT_00388,60-69,F,North-East,Hougang
RESIDENT_00389,40-49,M,West,Jurong West
RESIDENT_00390,60-69,F,Central,Bukit Merah
RESIDENT_00391,30-39,M,East,Bedok
RESIDENT_00392,40-49,M,West,Jurong West
RESIDENT_00393,40-49,F,West,Bukit Batok
RESIDENT_00394,40-49,F,Central,Bukit Merah
RESIDENT_00395,18-29,M,Central,Bukit Merah
RESIDENT_00396,70+,F,Central,Toa Payoh
RESIDENT_00397,30-39,F,North-East,Sengkang
RESIDENT_00398,70+,M,North,Yishun
RESIDENT_00399,18-29,F,North-East,Sengkang
RESIDENT_00400,30-39,M,Central,Bukit Merah
RESIDENT_00401,60-69,M,Central,Toa Payoh
RESIDENT_00402,40-49,F,North-East,Hougang
RESIDENT_00403,30-39,F,East,Bedok
RESIDENT_00404,60-69,F,West,Jurong West
RESIDENT_00405,50-59,M,Central,Bukit Merah
RESIDENT_00406,50-59,M,East,Tampines
RESIDENT_00407,60-69,F,East,Bedok
RESIDENT_00408,60-69,M,East,Pasir Ris
RESIDENT_00409,30-39,F,East,Pasir Ris
RESIDENT_00410,30-39,F,North-East,Sengkang
RESIDENT_00411,40-49,F,North-East,Punggol
RESIDENT_00412,30-39,M,West,Clementi
RESIDENT_00413,30-39,M,North-East,Hougang
RESIDENT_00414,60-69,F,North,Yishun
RESIDENT_00415,70+,F,North-East,Punggol
RESIDENT_00416,30-39,F,East,Tampines
RESIDENT_00417,40-49,F,Central,Bishan
RESIDENT_00418,50-59,F,West,Jurong West
RESIDENT_00419,30-39,F,West,Clementi
RESIDENT_00420,70+,F,East,Pasir Ris
RESIDENT_00421,50-59,F,East,Tampines
RESIDENT_00422,60-69,M,North,Yishun
RESIDENT_00423,30-39,M,North,Yishun
RESIDENT_00424,70+,M,North,Yishun
RESIDENT_00425,60-69,F,West,Jurong West
RESIDENT_00426,50-59,M,West,Clementi
RESIDENT_00427,30-39,F,North,Yishun
RESIDENT_00428,60-69,M,North,Sembawang
RESIDENT_00429,30-39,M,North-East,Hougang
RESIDENT_00430,30-39,F,North-East,Sengkang
RESIDENT_00431,60-69,M,Central,Bishan
RESIDENT_00432,50-59,F,Central,Bishan
RESIDENT_00433,18-29,M,North,Sembawang
RESIDENT_00434,40-49,M,Central,Bishan
RESIDENT_00435,40-49,M,North,Woodlands
RESIDENT_00436,18-29,F,East,Pasir Ris
RESIDENT_00437,50-59,M,East,Tampines
RESIDENT_00438,40-49,M,Central,Toa Payoh
RESIDENT_00439,30-39,F,East,Pasir Ris
RESIDENT_00440,40-49,M,Central,Bukit Merah
RESIDENT_00441,50-59,F,Central,Toa Payoh
RESIDENT_00442,40-49,F,North,Sembawang
RESIDENT_00443,70+,M,East,Tampines
RESIDENT_00444,60-69,F,North,Woodlands
RESIDENT_00445,70+,F,Central,Bukit Merah
RESIDENT_00446,30-39,F,Central,Bukit Merah
RESIDENT_00447,30-39,F,West,Bukit Batok
RESIDENT_00448,50-59,M,West,Jurong West
RESIDENT_00449,60-69,M,East,Pasir Ris
RESIDENT_00450,18-29,M,North,Yishun
RESIDENT_00451,40-49,M,North,Yishun
RESIDENT_00452,18-29,M,North-East,Hougang
RESIDENT_00453,30-39,M,Central,Bukit Merah
RESIDENT_00454,30-39,F,North-East,Hougang
RESIDENT_00455,30-39,M,North-East,Hougang
RESIDENT_00456,40-49,M,East,Bedok
RESIDENT_00457,40-49,M,North,Yishun
RESIDENT_00458,40-49,F,North-East,Sengkang
RESIDENT_00459,40-49,M,West,Jurong West
RESIDENT_00460,30-39,F,North,Woodlands
RESIDENT_00461,40-49,M,North,Woodlands
RESIDENT_00462,50-59,M,East,Pasir Ris
RESIDENT_00463,18-29,M,North-East,Hougang
RESIDENT_00464,40-49,M,West,Clementi
RESIDENT_00465,18-29,M,West,Bukit Batok
RESIDENT_00466,30-39,M,North-East,Punggol
RESIDENT_00467,60-69,M,West,Clementi
RESIDENT_00468,18-29,F,North,Sembawang
RESIDENT_00469,18-29,M,West,Bukit Batok
RESIDENT_00470,60-69,F,North,Yishun
RESIDENT_00471,50-59,F,East,Tampines
RESIDENT_00472,60-69,F,North-East,Punggol
RESIDENT_00473,40-49,M,West,Bukit Batok
RESIDENT_00474,50-59,F,West,Jurong West
RESIDENT_00475,30-39,F,North,Sembawang
RESIDENT_00476,70+,M,North,Woodlands
RESIDENT_00477,30-39,F,North,Yishun
RESIDENT_00478,60-69,F,North-East,Punggol
RESIDENT_00479,30-39,F,Central,Bishan
RESIDENT_00480,30-39,M,North,Woodlands
RESIDENT_00481,40-49,M,North,Sembawang
RESIDENT_00482,18-29,F,North,Sembawang
RESIDENT_00483,50-59,F,North,Sembawang
RESIDENT_00484,40-49,M,East,Pasir Ris
RESIDENT_00485,60-69,F,East,Bedok
RESIDENT_00486,18-29,F,North-East,Punggol
RESIDENT_00487,18-29,F,North-East,Hougang
RESIDENT_00488,18-29,F,West,Clementi
RESIDENT_00489,18-29,M,North-East,Sengkang
RESIDENT_00490,40-49,M,West,Bukit Batok
RESIDENT_00491,60-69,F,North,Sembawang
RESIDENT_00492,50-59,F,West,Clementi
RESIDENT_00493,18-29,M,North,Sembawang
RESIDENT_00494,40-49,F,North-East,Sengkang
RESIDENT_00495,40-49,F,East,Pasir Ris
RESIDENT_00496,18-29,M,North,Yishun
RESIDENT_00497,70+,M,North,Woodlands
RESIDENT_00498,40-49,M,West,Clementi
RESIDENT_00499,50-59,M,North-East,Punggol
RESIDENT_00500,18-29,F,West,Clementi
RESIDENT_00501,40-49,F,East,Tampines
RESIDENT_00502,40-49,F,West,Clementi
RESIDENT_00503,40-49,F,North,Sembawang
RESIDENT_00504,70+,F,East,Pasir Ris
RESIDENT_00505,60-69,F,North,Yishun
RESIDENT_00506,40-49,F,Central,Bishan
RESIDENT_00507,50-59,F,West,Bukit Batok
RESIDENT_00508,60-69,M,East,Pasir Ris
RESIDENT_00509,30-39,M,East,Tampines
RESIDENT_00510,70+,F,West,Jurong West
RESIDENT_00511,70+,F,Central,Bukit Merah
RESIDENT_00512,18-29,M,East,Bedok
RESIDENT_00513,18-29,M,North-East,Sengkang
RESIDENT_00514,18-29,F,North-East,Punggol
RESIDENT_00515,40-49,M,North,Yishun
RESIDENT_00516,50-59,M,Central,Bukit Merah
RESIDENT_00517,60-69,M,Central,Bishan
RESIDENT_00518,30-39,M,North-East,Punggol
RESIDENT_00519,40-49,M,East,Tampines
RESIDENT_00520,18-29,M,Central,Bishan
RESIDENT_00521,40-49,M,North-East,Hougang
RESIDENT_00522,30-39,M,North,Woodlands
RESIDENT_00523,18-29,F,North,Woodlands
RESIDENT_00524,40-49,F,East,Pasir Ris
RESIDENT_00525,40-49,F,East,Pasir Ris
RESIDENT_00526,18-29,M,North-East,Hougang
RESIDENT_00527,40-49,F,East,Tampines
RESIDENT_00528,30-39,M,Central,Bishan
RESIDENT_00529,18-29,F,East,Pasir Ris
RESIDENT_00530,30-39,F,North-East,Sengkang
RESIDENT_00531,50-59,M,North-East,Hougang
RESIDENT_00532,60-69,M,East,Tampines
RESIDENT_00533,30-39,F,East,Bedok
RESIDENT_00534,60-69,M,Central,Bishan
RESIDENT_00535,50-59,M,East,Pasir Ris
RESIDENT_00536,40-49,F,North-East,Punggol
RESIDENT_00537,60-69,F,West,Clementi
RESIDENT_00538,60-69,M,North-East,Punggol
RESIDENT_00539,70+,F,North-East,Hougang
RESIDENT_00540,30-39,F,Central,Bishan
RESIDENT_00541,30-39,M,West,Clementi
RESIDENT_00542,50-59,F,Central,Toa Payoh
RESIDENT_00543,40-49,F,Central,Bishan
RESIDENT_00544,50-59,F,North-East,Punggol
RESIDENT_00545,18-29,F,East,Tampines
RESIDENT_00546,50-59,M,West,Bukit Batok
RESIDENT_00547,18-29,F,Central,Bukit Merah
RESIDENT_00548,70+,M,North-East,Hougang
RESIDENT_00549,50-59,F,North,Woodlands
RESIDENT_00550,40-49,M,North,Sembawang
RESIDENT_00551,40-49,M,North-East,Hougang
RESIDENT_00552,30-39,M,East,Bedok
RESIDENT_00553,50-59,F,East,Bedok
RESIDENT_00554,18-29,M,East,Tampines
RESIDENT_00555,40-49,M,Central,Bishan
RESIDENT_00556,70+,M,North-East,Punggol
RESIDENT_00557,40-49,F,West,Jurong West
RESIDENT_00558,70+,F,Central,Toa Payoh
RESIDENT_00559,30-39,M,North,Woodlands
RESIDENT_00560,40-49,M,North,Sembawang
RESIDENT_00561,30-39,M,North-East,Hougang
RESIDENT_00562,30-39,M,East,Bedok
RESIDENT_00563,50-59,F,North,Yishun
RESIDENT_00564,18-29,F,North,Yishun
RESIDENT_00565,50-59,F,East,Bedok
RESIDENT_00566,50-59,M,North-East,Punggol
RESIDENT_00567,18-29,F,West,Bukit Batok
RESIDENT_00568,50-59,F,Central,Toa Payoh
RESIDENT_00569,30-39,M,East,Tampines
