resident_id,challenge_name,target_metric,enrol_date,status,current_tier,target_value,progress_pct
RESIDENT_00561,Eat Drink Shop Healthy,Healthier Purchases,2026-03-26,Active,Gold,30,75.3
RESIDENT_00797,National Steps Challenge,Steps,2026-03-12,Active,Bronze,10000,23.6
RESIDENT_00865,Eat Drink Shop Healthy,Healthier Purchases,2026-03-09,Active,Silver,30,48.5
RESIDENT_01076,Move It Challenge,MVPA Minutes,2026-03-08,Active,Participant,150,15.1
RESIDENT_01311,Move It Challenge,MVPA Minutes,2026-04-03,Active,Silver,150,50.6
RESIDENT_00806,National Steps Challenge,Steps,2026-03-02,Active,Gold,10000,73.9
RESIDENT_00632,Eat Drink Shop Healthy,Healthier Purchases,2026-03-09,Active,Gold,30,69.5
RESIDENT_01144,Move It Challenge,MVPA Minutes,2026-03-28,Active,Silver,150,50.4
RESIDENT_01109,National Steps Challenge,Steps,2026-03-06,Active,Silver,10000,40.3
RESIDENT_00227,Eat Drink Shop Healthy,Healthier Purchases,2026-03-30,Active,Silver,30,56.9
RESIDENT_01036,Move It Challenge,MVPA Minutes,2026-03-22,Active,Bronze,150,22.4
RESIDENT_00177,Move It Challenge,MVPA Minutes,2026-03-31,Active,Platinum,150,81.7
RESIDENT_00160,Move It Challenge,MVPA Minutes,2026-03-31,Active,Bronze,150,37.8
RESIDENT_01408,Move It Challenge,MVPA Minutes,2026-03-27,Active,Gold,150,69.6
RESIDENT_00730,National Steps Challenge,Steps,2026-03-16,Active,Gold,10000,71.6
RESIDENT_01356,National Steps Challenge,Steps,2026-03-24,Active,Silver,10000,47.3
RESIDENT_01382,Eat Drink Shop Healthy,Healthier Purchases,2026-03-07,Active,Platinum,30,90.7
RESIDENT_00215,National Steps Challenge,Steps,2026-03-17,Active,Bronze,10000,33.6
RESIDENT_00536,Eat Drink Shop Healthy,Healthier Purchases,2026-03-05,Active,Gold,30,80.0
RESIDENT_01196,Eat Drink Shop Healthy,Healthier Purchases,2026-04-08,Active,Gold,30,76.0
RESIDENT_00464,Move It Challenge,MVPA Minutes,2026-03-26,Active,Silver,150,59.2
RESIDENT_01476,Move It Challenge,MVPA Minutes,2026-03-08,Active,Silver,150,50.3
RESIDENT_01496,Eat Drink Shop Healthy,Healthier Purchases,2026-03-11,Active,Participant,30,7.8
RESIDENT_00811,Eat Drink Shop Healthy,Healthier Purchases,2026-03-08,Active,Silver,30,47.7
RESIDENT_00854,National Steps Challenge,Steps,2026-03-23,Active,Bronze,10000,28.2
RESIDENT_00523,Move It Challenge,MVPA Minutes,2026-03-21,Active,Silver,150,43.1
RESIDENT_01058,Move It Challenge,MVPA Minutes,2026-03-20,Active,Gold,150,80.0
RESIDENT_01480,Move It Challenge,MVPA Minutes,2026-03-06,Active,Gold,150,75.2
RESIDENT_00535,Eat Drink Shop Healthy,Healthier Purchases,2026-03-27,Active,Bronze,30,27.2
RESIDENT_01019,Eat Drink Shop Healthy,Healthier Purchases,2026-03-16,Active,Silver,30,47.3
RESIDENT_00878,National Steps Challenge,Steps,2026-03-09,Active,Bronze,10000,35.9
RESIDENT_00209,Eat Drink Shop Healthy,Healthier Purchases,2026-04-05,Active,Gold,30,70.3
RESIDENT_00570,National Steps Challenge,Steps,2026-03-01,Active,Platinum,10000,93.9
RESIDENT_00609,Eat Drink Shop Healthy,Healthier Purchases,2026-03-21,Active,Gold,30,61.9
RESIDENT_00233,Eat Drink Shop Healthy,Healthier Purchases,2026-03-23,Active,Gold,30,77.4
RESIDENT_00087,Move It Challenge,MVPA Minutes,2026-04-10,Active,Silver,150,49.7
RESIDENT_00718,Eat Drink Shop Healthy,Healthier Purchases,2026-03-22,Active,Platinum,30,95.7
RESIDENT_01147,National Steps Challenge,Steps,2026-04-07,Active,Gold,10000,68.3
RESIDENT_00428,Move It Challenge,MVPA Minutes,2026-03-20,Active,Bronze,150,21.1
RESIDENT_00323,National Steps Challenge,Steps,2026-04-09,Active,Silver,10000,44.1
RESIDENT_00569,Move It Challenge,MVPA Minutes,2026-03-15,Active,Participant,150,6.2
RESIDENT_00971,Eat Drink Shop Healthy,Healthier Purchases,2026-03-17,Active,Participant,30,11.3
RESIDENT_00454,National Steps Challenge,Steps,2026-03-10,Active,Bronze,10000,23.3
RESIDENT_01220,Move It Challenge,MVPA Minutes,2026-03-07,Active,Silver,150,57.8
RESIDENT_01482,Move It Challenge,MVPA Minutes,2026-04-02,Active,Participant,150,14.3
RESIDENT_00336,National Steps Challenge,Steps,2026-04-02,Active,Silver,10000,55.8
RESIDENT_00612,National Steps Challenge,Steps,2026-03-08,Active,Participant,10000,17.9
RESIDENT_00691,National Steps Challenge,Steps,2026-03-21,Active,Participant,10000,0.7
RESIDENT_01021,National Steps Challenge,Steps,2026-03-13,Active,Gold,10000,61.8
RESIDENT_00222,National Steps Challenge,Steps,2026-04-10,Active,Bronze,10000,28.3
RESIDENT_00405,Eat Drink Shop Healthy,Healthier Purchases,2026-03-15,Active,Platinum,30,80.8
RESIDENT_00599,Move It Challenge,MVPA Minutes,2026-03-02,Active,Participant,150,8.9
RESIDENT_00666,Eat Drink Shop Healthy,Healthier Purchases,2026-03-05,Active,Bronze,30,29.2
RESIDENT_00859,National Steps Challenge,Steps,2026-03-15,Active,Participant,10000,16.0
RESIDENT_00294,Move It Challenge,MVPA Minutes,2026-04-07,Active,Silver,150,57.5
RESIDENT_01454,National Steps Challenge,Steps,2026-03-02,Active,Participant,10000,10.3
RESIDENT_01183,Move It Challenge,MVPA Minutes,2026-04-08,Active,Bronze,150,32.1
RESIDENT_01206,National Steps Challenge,Steps,2026-04-07,Active,Participant,10000,9.7
RESIDENT_00618,National Steps Challenge,Steps,2026-04-10,Active,Participant,10000,18.6
RESIDENT_00131,National Steps Challenge,Steps,2026-03-24,Active,Silver,10000,41.7
RESIDENT_01343,Move It Challenge,MVPA Minutes,2026-03-04,Active,Participant,150,19.4
RESIDENT_01235,Eat Drink Shop Healthy,Healthier Purchases,2026-03-23,Active,Silver,30,51.3
RESIDENT_01041,National Steps Challenge,Steps,2026-03-21,Active,Bronze,10000,33.0
RESIDENT_01118,Eat Drink Shop Healthy,Healthier Purchases,2026-03-31,Active,Platinum,30,80.5
RESIDENT_00881,National Steps Challenge,Steps,2026-03-06,Active,Platinum,10000,81.7
RESIDENT_00206,Move It Challenge,MVPA Minutes,2026-03-03,Active,Bronze,150,32.0
RESIDENT_01228,Eat Drink Shop Healthy,Healthier Purchases,2026-03-12,Active,Participant,30,19.9
RESIDENT_00336,Eat Drink Shop Healthy,Healthier Purchases,2026-03-28,Active,Gold,30,80.0
RESIDENT_00364,Move It Challenge,MVPA Minutes,2026-03-01,Active,Silver,150,49.6
RESIDENT_01165,Move It Challenge,MVPA Minutes,2026-03-21,Active,Bronze,150,23.5
RESIDENT_01452,Move It Challenge,MVPA Minutes,2026-03-06,Active,Platinum,150,81.3
RESIDENT_01002,Eat Drink Shop Healthy,Healthier Purchases,2026-04-10,Active,Bronze,30,37.7
RESIDENT_00511,Eat Drink Shop Healthy,Healthier Purchases,2026-03-15,Active,Silver,30,47.3
RESIDENT_00798,Eat Drink Shop Healthy,Healthier Purchases,2026-04-10,Active,Gold,30,70.2
RESIDENT_00518,Eat Drink Shop Healthy,Healthier Purchases,2026-04-05,Active,Platinum,30,83.0
RESIDENT_01116,National Steps Challenge,Steps,2026-03-09,Active,Gold,10000,73.2
RESIDENT_00735,Eat Drink Shop Healthy,Healthier Purchases,2026-03-08,Active,Bronze,30,36.8
RESIDENT_00156,Eat Drink Shop Healthy,Healthier Purchases,2026-03-30,Active,Silver,30,44.7
RESIDENT_00401,Eat Drink Shop Healthy,Healthier Purchases,2026-03-23,Active,Participant,30,11.7
RESIDENT_00840,Move It Challenge,MVPA Minutes,2026-03-30,Active,Gold,150,71.2
RESIDENT_01108,National Steps Challenge,Steps,2026-03-01,Active,Gold,10000,77.5
RESIDENT_00410,Move It Challenge,MVPA Minutes,2026-04-09,Active,Participant,150,17.8
RESIDENT_00185,Move It Challenge,MVPA Minutes,2026-04-05,Active,Silver,150,44.7
RESIDENT_00156,National Steps Challenge,Steps,2026-03-02,Active,Silver,10000,52.4
RESIDENT_00915,Eat Drink Shop Healthy,Healthier Purchases,2026-03-01,Active,Platinum,30,90.2
RESIDENT_00858,Move It Challenge,MVPA Minutes,2026-03-29,Active,Silver,150,46.8
RESIDENT_00253,Eat Drink Shop Healthy,Healthier Purchases,2026-04-06,Active,Silver,30,41.6
RESIDENT_01137,Move It Challenge,MVPA Minutes,2026-03-23,Active,Participant,150,15.1
RESIDENT_00606,Eat Drink Shop Healthy,Healthier Purchases,2026-03-23,Active,Silver,30,45.8
RESIDENT_00745,National Steps Challenge,Steps,2026-03-10,Active,Bronze,10000,36.5
RESIDENT_00097,Move It Challenge,MVPA Minutes,2026-03-24,Active,Gold,150,72.1
RESIDENT_00583,Eat Drink Shop Healthy,Healthier Purchases,2026-03-27,Active,Platinum,30,84.7
RESIDENT_00421,National Steps Challenge,Steps,2026-03-25,Active,Gold,10000,71.9
RESIDENT_00516,National Steps Challenge,Steps,2026-03-18,Active,Bronze,10000,23.0
RESIDENT_00009,Move It Challenge,MVPA Minutes,2026-04-09,Active,Participant,150,3.2
RESIDENT_00326,Move It Challenge,MVPA Minutes,2026-03-14,Active,Gold,150,72.5
RESIDENT_00838,Move It Challenge,MVPA Minutes,2026-03-06,Active,Gold,150,75.4
RESIDENT_00605,National Steps Challenge,Steps,2026-03-30,Active,Silver,10000,47.9
RESIDENT_01309,National Steps Challenge,Steps,2026-03-10,Active,Silver,10000,45.7
RESIDENT_01245,Move It Challenge,MVPA Minutes,2026-03-23,Active,Gold,150,63.9
RESIDENT_00037,Eat Drink Shop Healthy,Healthier Purchases,2026-04-06,Active,Gold,30,74.9
RESIDENT_01453,National Steps Challenge,Steps,2026-03-14,Active,Silver,10000,47.3
RESIDENT_00665,Move It Challenge,MVPA Minutes,2026-04-05,Active,Platinum,150,97.6
RESIDENT_01334,National Steps Challenge,Steps,2026-03-06,Active,Bronze,10000,36.5
RESIDENT_00319,Eat Drink Shop Healthy,Healthier Purchases,2026-03-21,Active,Bronze,30,20.8
RESIDENT_01425,National Steps Challenge,Steps,2026-04-07,Active,Gold,10000,68.4
RESIDENT_01339,Move It Challenge,MVPA Minutes,2026-03-24,Active,Bronze,150,31.6
RESIDENT_01319,Eat Drink Shop Healthy,Healthier Purchases,2026-03-28,Active,Silver,30,45.4
RESIDENT_00484,National Steps Challenge,Steps,2026-04-03,Active,Bronze,10000,34.5
RESIDENT_00332,National Steps Challenge,Steps,2026-03-22,Active,Gold,10000,74.7
RESIDENT_00998,Eat Drink Shop Healthy,Healthier Purchases,2026-03-13,Active,Silver,30,42.0
RESIDENT_00990,Eat Drink Shop Healthy,Healthier Purchases,2026-03-31,Active,Gold,30,71.8
RESIDENT_00627,Eat Drink Shop Healthy,Healthier Purchases,2026-03-05,Active,Silver,30,57.0
RESIDENT_01057,Eat Drink Shop Healthy,Healthier Purchases,2026-03-15,Active,Silver,30,47.3
RESIDENT_00906,National Steps Challenge,Steps,2026-03-20,Active,Silver,10000,54.3
RESIDENT_00514,Eat Drink Shop Healthy,Healthier Purchases,2026-04-10,Active,Bronze,30,20.9
RESIDENT_01242,Eat Drink Shop Healthy,Healthier Purchases,2026-04-10,Active,Participant,30,14.8
RESIDENT_00693,National Steps Challenge,Steps,2026-04-06,Active,Gold,10000,69.4
RESIDENT_01414,Move It Challenge,MVPA Minutes,2026-03-31,Active,Gold,150,71.6
RESIDENT_00486,Eat Drink Shop Healthy,Healthier Purchases,2026-03-31,Active,Platinum,30,87.5
RESIDENT_00420,National Steps Challenge,Steps,2026-04-03,Active,Silver,10000,53.9
RESIDENT_00077,Move It Challenge,MVPA Minutes,2026-03-23,Active,Bronze,150,37.8
RESIDENT_01232,Eat Drink Shop Healthy,Healthier Purchases,2026-03-17,Active,Bronze,30,22.0
RESIDENT_00584,National Steps Challenge,Steps,2026-03-06,Active,Gold,10000,74.5
RESIDENT_01477,Move It Challenge,MVPA Minutes,2026-03-09,Active,Bronze,150,33.1
RESIDENT_01460,National Steps Challenge,Steps,2026-03-22,Active,Bronze,10000,27.5
RESIDENT_00127,Move It Challenge,MVPA Minutes,2026-03-08,Active,Platinum,150,83.3
RESIDENT_00168,Move It Challenge,MVPA Minutes,2026-03-31,Active,Gold,150,79.3
RESIDENT_01122,Eat Drink Shop Healthy,Healthier Purchases,2026-03-30,Active,Gold,30,64.0
RESIDENT_01026,National Steps Challenge,Steps,2026-04-06,Active,Bronze,10000,29.9
RESIDENT_00372,National Steps Challenge,Steps,2026-03-04,Active,Participant,10000,5.4
RESIDENT_01252,Move It Challenge,MVPA Minutes,2026-03-09,Active,Silver,150,43.4
RESIDENT_00921,National Steps Challenge,Steps,2026-04-10,Active,Bronze,10000,26.7
RESIDENT_00786,National Steps Challenge,Steps,2026-03-12,Active,Platinum,10000,83.9
RESIDENT_01085,Move It Challenge,MVPA Minutes,2026-03-20,Active,Platinum,150,85.7
RESIDENT_00885,National Steps Challenge,Steps,2026-03-18,Active,Platinum,10000,92.9
RESIDENT_00723,Move It Challenge,MVPA Minutes,2026-03-01,Active,Bronze,150,35.1
RESIDENT_00538,Move It Challenge,MVPA Minutes,2026-03-10,Active,Silver,150,43.7
RESIDENT_01006,Move It Challenge,MVPA Minutes,2026-03-27,Active,Silver,150,48.1
RESIDENT_00778,National Steps Challenge,Steps,2026-04-08,Active,Gold,10000,79.1
RESIDENT_01249,Move It Challenge,MVPA Minutes,2026-03-20,Active,Silver,150,44.0
RESIDENT_00698,Eat Drink Shop Healthy,Healthier Purchases,2026-03-21,Active,Bronze,30,25.4
RESIDENT_00437,Eat Drink Shop Healthy,Healthier Purchases,2026-04-01,Active,Gold,30,64.6
RESIDENT_00551,National Steps Challenge,Steps,2026-04-10,Active,Silver,10000,43.6
RESIDENT_00147,National Steps Challenge,Steps,2026-03-03,Active,Participant,10000,7.4
RESIDENT_00514,Move It Challenge,MVPA Minutes,2026-04-01,Active,Participant,150,17.7
RESIDENT_00026,Eat Drink Shop Healthy,Healthier Purchases,2026-04-10,Active,Bronze,30,39.8
RESIDENT_00566,Eat Drink Shop Healthy,Healthier Purchases,2026-03-27,Active,Platinum,30,95.2
RESIDENT_00079,Eat Drink Shop Healthy,Healthier Purchases,2026-03-25,Active,Silver,30,54.8
RESIDENT_01113,Move It Challenge,MVPA Minutes,2026-03-30,Active,Silver,150,42.4
RESIDENT_01431,National Steps Challenge,Steps,2026-03-03,Active,Platinum,10000,93.2
RESIDENT_01073,National Steps Challenge,Steps,2026-03-17,Active,Silver,10000,45.2
RESIDENT_00840,National Steps Challenge,Steps,2026-03-13,Active,Silver,10000,58.6
RESIDENT_00958,Eat Drink Shop Healthy,Healthier Purchases,2026-03-17,Active,Participant,30,13.4
RESIDENT_00975,Move It Challenge,MVPA Minutes,2026-03-13,Active,Gold,150,72.9
RESIDENT_01195,Move It Challenge,MVPA Minutes,2026-03-01,Active,Gold,150,77.9
RESIDENT_00109,Move It Challenge,MVPA Minutes,2026-03-29,Active,Silver,150,58.1
RESIDENT_00970,Move It Challenge,MVPA Minutes,2026-03-03,Active,Platinum,150,82.5
RESIDENT_01067,National Steps Challenge,Steps,2026-03-02,Active,Participant,10000,14.1
RESIDENT_00702,Eat Drink Shop Healthy,Healthier Purchases,2026-04-06,Active,Silver,30,55.7
RESIDENT_01489,Move It Challenge,MVPA Minutes,2026-04-06,Active,Bronze,150,32.9
RESIDENT_00798,Move It Challenge,MVPA Minutes,2026-03-24,Active,Gold,150,78.2
RESIDENT_00222,Move It Challenge,MVPA Minutes,2026-03-10,Active,Participant,150,5.7
RESIDENT_00809,Eat Drink Shop Healthy,Healthier Purchases,2026-04-03,Active,Silver,30,47.8
RESIDENT_00484,Move It Challenge,MVPA Minutes,2026-03-28,Active,Participant,150,10.1
RESIDENT_00951,Move It Challenge,MVPA Minutes,2026-03-08,Active,Platinum,150,97.6
RESIDENT_00313,Move It Challenge,MVPA Minutes,2026-03-28,Active,Bronze,150,21.0
RESIDENT_01194,National Steps Challenge,Steps,2026-03-31,Active,Platinum,10000,92.5
RESIDENT_00556,Eat Drink Shop Healthy,Healthier Purchases,2026-03-31,Active,Platinum,30,98.1
RESIDENT_00907,National Steps Challenge,Steps,2026-03-20,Active,Gold,10000,74.9
RESIDENT_00468,National Steps Challenge,Steps,2026-04-07,Active,Silver,10000,44.8
RESIDENT_00178,Eat Drink Shop Healthy,Healthier Purchases,2026-03-06,Active,Gold,30,76.2
RESIDENT_00608,Move It Challenge,MVPA Minutes,2026-04-08,Active,Silver,150,43.0
RESIDENT_01230,National Steps Challenge,Steps,2026-03-15,Active,Bronze,10000,27.2
RESIDENT_01193,National Steps Challenge,Steps,2026-03-05,Active,Silver,10000,47.6
RESIDENT_01022,Move It Challenge,MVPA Minutes,2026-03-27,Active,Gold,150,73.7
RESIDENT_00678,Eat Drink Shop Healthy,Healthier Purchases,2026-03-07,Active,Platinum,30,96.2
RESIDENT_01446,Eat Drink Shop Healthy,Healthier Purchases,2026-04-04,Active,Bronze,30,21.6
RESIDENT_00158,National Steps Challenge,Steps,2026-03-10,Active,Silver,10000,46.8
RESIDENT_01192,Move It Challenge,MVPA Minutes,2026-03-29,Active,Silver,150,51.8
RESIDENT_01499,Eat Drink Shop Healthy,Healthier Purchases,2026-03-12,Active,Bronze,30,26.5
RESIDENT_00290,Eat Drink Shop Healthy,Healthier Purchases,2026-04-02,Active,Platinum,30,92.3
RESIDENT_00689,Move It Challenge,MVPA Minutes,2026-03-27,Active,Participant,150,10.6
RESIDENT_00329,Move It Challenge,MVPA Minutes,2026-04-10,Active,Silver,150,53.3
RESIDENT_00435,Eat Drink Shop Healthy,Healthier Purchases,2026-04-09,Active,Bronze,30,24.1
RESIDENT_01057,Move It Challenge,MVPA Minutes,2026-04-01,Active,Silver,150,47.3
RESIDENT_00385,National Steps Challenge,Steps,2026-03-24,Active,Bronze,10000,26.6
RESIDENT_00203,National Steps Challenge,Steps,2026-03-19,Active,Platinum,10000,80.2
RESIDENT_01461,National Steps Challenge,Steps,2026-03-18,Active,Silver,10000,41.6
RESIDENT_01028,Eat Drink Shop Healthy,Healthier Purchases,2026-03-11,Active,Bronze,30,32.1
RESIDENT_01466,Move It Challenge,MVPA Minutes,2026-03-18,Active,Silver,150,49.2
RESIDENT_00195,Move It Challenge,MVPA Minutes,2026-03-22,Active,Gold,150,78.0
RESIDENT_01151,National Steps Challenge,Steps,2026-04-04,Active,Platinum,10000,81.6
RESIDENT_00576,Eat Drink Shop Healthy,Healthier Purchases,2026-03-02,Active,Silver,30,47.4
RESIDENT_01002,National Steps Challenge,Steps,2026-03-22,Active,Bronze,10000,23.4
RESIDENT_00927,Eat Drink Shop Healthy,Healthier Purchases,2026-03-22,Active,Gold,30,79.2
RESIDENT_00880,Move It Challenge,MVPA Minutes,2026-03-26,Active,Platinum,150,86.0
RESIDENT_00284,National Steps Challenge,Steps,2026-03-27,Active,Gold,10000,70.2
RESIDENT_01277,National Steps Challenge,Steps,2026-03-14,Active,Bronze,10000,28.2
RESIDENT_01426,Move It Challenge,MVPA Minutes,2026-03-13,Active,Silver,150,40.0
RESIDENT_00348,National Steps Challenge,Steps,2026-03-26,Active,Bronze,10000,21.6
RESIDENT_00258,National Steps Challenge,Steps,2026-03-31,Active,Bronze,10000,22.5
RESIDENT_00134,Eat Drink Shop Healthy,Healthier Purchases,2026-03-26,Active,Participant,30,17.4
RESIDENT_00565,National Steps Challenge,Steps,2026-03-01,Active,Participant,10000,4.9
RESIDENT_01403,Move It Challenge,MVPA Minutes,2026-03-27,Active,Participant,150,9.0
RESIDENT_01041,Move It Challenge,MVPA Minutes,2026-04-02,Active,Participant,150,12.4
RESIDENT_01413,Move It Challenge,MVPA Minutes,2026-03-29,Active,Platinum,150,95.7
RESIDENT_00974,Move It Challenge,MVPA Minutes,2026-03-26,Active,Platinum,150,91.0
RESIDENT_00229,Move It Challenge,MVPA Minutes,2026-03-03,Active,Silver,150,51.5
RESIDENT_00302,National Steps Challenge,Steps,2026-03-24,Active,Participant,10000,6.0
RESIDENT_01369,National Steps Challenge,Steps,2026-03-26,Active,Gold,10000,63.3
RESIDENT_01051,Eat Drink Shop Healthy,Healthier Purchases,2026-03-18,Active,Gold,30,71.2
RESIDENT_01186,Eat Drink Shop Healthy,Healthier Purchases,2026-03-15,Active,Silver,30,51.6
RESIDENT_01334,Eat Drink Shop Healthy,Healthier Purchases,2026-04-10,Active,Participant,30,18.1
RESIDENT_00764,Move It Challenge,MVPA Minutes,2026-03-06,Active,Participant,150,17.9
RESIDENT_00737,Eat Drink Shop Healthy,Healthier Purchases,2026-04-08,Active,Gold,30,60.7
RESIDENT_00019,National Steps Challenge,Steps,2026-04-08,Active,Platinum,10000,98.4
RESIDENT_00711,Eat Drink Shop Healthy,Healthier Purchases,2026-03-24,Active,Gold,30,62.6
RESIDENT_01045,National Steps Challenge,Steps,2026-04-08,Active,Bronze,10000,21.6
RESIDENT_00391,National Steps Challenge,Steps,2026-04-02,Active,Silver,10000,45.3
RESIDENT_00494,Move It Challenge,MVPA Minutes,2026-03-17,Active,Silver,150,45.7
RESIDENT_00317,National Steps Challenge,Steps,2026-03-26,Active,Silver,10000,44.2
RESIDENT_00416,Eat Drink Shop Healthy,Healthier Purchases,2026-03-27,Active,Silver,30,50.4
RESIDENT_00436,National Steps Challenge,Steps,2026-03-19,Active,Silver,10000,40.9
RESIDENT_00509,Move It Challenge,MVPA Minutes,2026-03-03,Active,Gold,150,75.6
RESIDENT_00181,Move It Challenge,MVPA Minutes,2026-04-01,Active,Silver,150,54.0
RESIDENT_00205,Move It Challenge,MVPA Minutes,2026-03-09,Active,Gold,150,73.0
RESIDENT_00242,Move It Challenge,MVPA Minutes,2026-03-25,Active,Silver,150,41.4
RESIDENT_00716,Eat Drink Shop Healthy,Healthier Purchases,2026-03-23,Active,Platinum,30,82.3
RESIDENT_00293,Move It Challenge,MVPA Minutes,2026-03-09,Active,Gold,150,78.5
RESIDENT_01152,Move It Challenge,MVPA Minutes,2026-03-11,Active,Platinum,150,97.2
RESIDENT_00246,Eat Drink Shop Healthy,Healthier Purchases,2026-03-05,Active,Participant,30,2.9
RESIDENT_00844,National Steps Challenge,Steps,2026-03-01,Active,Silver,10000,58.1
RESIDENT_00644,Eat Drink Shop Healthy,Healthier Purchases,2026-03-04,Active,Gold,30,64.6
RESIDENT_00382,National Steps Challenge,Steps,2026-03-14,Active,Silver,10000,45.9
RESIDENT_01213,Eat Drink Shop Healthy,Healthier Purchases,2026-03-20,Active,Bronze,30,29.2
RESIDENT_00983,National Steps Challenge,Steps,2026-03-16,Active,Gold,10000,71.0
RESIDENT_00409,Eat Drink Shop Healthy,Healthier Purchases,2026-03-29,Active,Platinum,30,81.7
RESIDENT_00265,National Steps Challenge,Steps,2026-03-24,Active,Platinum,10000,96.6
RESIDENT_00066,Eat Drink Shop Healthy,Healthier Purchases,2026-03-24,Active,Participant,30,17.1
RESIDENT_00867,Eat Drink Shop Healthy,Healthier Purchases,2026-03-11,Active,Bronze,30,38.0
RESIDENT_00455,Eat Drink Shop Healthy,Healthier Purchases,2026-04-04,Active,Silver,30,56.8
RESIDENT_00258,Eat Drink Shop Healthy,Healthier Purchases,2026-03-25,Active,Participant,30,3.6
RESIDENT_01088,Eat Drink Shop Healthy,Healthier Purchases,2026-04-02,Active,Participant,30,11.8
RESIDENT_00006,Eat Drink Shop Healthy,Healthier Purchases,2026-03-12,Active,Gold,30,74.4
RESIDENT_01003,Eat Drink Shop Healthy,Healthier Purchases,2026-03-19,Active,Platinum,30,80.2
RESIDENT_00108,National Steps Challenge,Steps,2026-04-06,Active,Gold,10000,70.8
RESIDENT_00696,Eat Drink Shop Healthy,Healthier Purchases,2026-03-02,Active,Participant,30,13.8
RESIDENT_01333,Move It Challenge,MVPA Minutes,2026-04-01,Active,Silver,150,58.6
RESIDENT_00788,Eat Drink Shop Healthy,Healthier Purchases,2026-03-13,Active,Platinum,30,87.8
RESIDENT_00772,National Steps Challenge,Steps,2026-03-13,Active,Participant,10000,18.4
RESIDENT_00832,Move It Challenge,MVPA Minutes,2026-03-13,Active,Gold,150,75.1
RESIDENT_00370,Eat Drink Shop Healthy,Healthier Purchases,2026-03-20,Active,Bronze,30,21.3
RESIDENT_00307,Move It Challenge,MVPA Minutes,2026-03-20,Active,Gold,150,70.1
RESIDENT_01017,National Steps Challenge,Steps,2026-03-13,Active,Bronze,10000,21.9
RESIDENT_01177,National Steps Challenge,Steps,2026-04-06,Active,Gold,10000,75.4
RESIDENT_00469,Move It Challenge,MVPA Minutes,2026-03-30,Active,Gold,150,73.3
RESIDENT_00889,Eat Drink Shop Healthy,Healthier Purchases,2026-03-14,Active,Gold,30,69.2
RESIDENT_00118,Eat Drink Shop Healthy,Healthier Purchases,2026-03-14,Active,Bronze,30,28.3
RESIDENT_01154,National Steps Challenge,Steps,2026-03-16,Active,Gold,10000,73.3
RESIDENT_00728,National Steps Challenge,Steps,2026-03-01,Active,Bronze,10000,22.5
RESIDENT_01315,Move It Challenge,MVPA Minutes,2026-03-15,Active,Gold,150,71.0
RESIDENT_01438,Eat Drink Shop Healthy,Healthier Purchases,2026-03-20,Active,Gold,30,76.1
RESIDENT_00525,National Steps Challenge,Steps,2026-04-10,Active,Gold,10000,67.0
RESIDENT_00096,Eat Drink Shop Healthy,Healthier Purchases,2026-03-01,Active,Bronze,30,33.3
RESIDENT_00253,Move It Challenge,MVPA Minutes,2026-03-02,Active,Silver,150,45.6
RESIDENT_00137,Move It Challenge,MVPA Minutes,2026-03-30,Active,Gold,150,69.7
