redemption_id,resident_id,redeemed_date,merchant,merchant_category,voucher_value_sgd,healthpoints_spent
EV001480,RESIDENT_00861,2026-04-16,Sheng Siong,Groceries,10,1000
EV002544,RESIDENT_01485,2026-04-01,Watsons,Health & Beauty,2,200
EV000958,RESIDENT_00568,2026-05-21,Cold Storage,Groceries,5,500
EV002440,RESIDENT_01414,2026-04-09,Watsons,Health & Beauty,15,1500
EV000720,RESIDENT_00422,2026-06-03,Decathlon,Sports,10,1000
EV002226,RESIDENT_01283,2026-04-30,Kopitiam,Food & Beverage,10,1000
EV000355,RESIDENT_00205,2026-05-22,Sheng Siong,Groceries,5,500
EV001874,RESIDENT_01081,2026-05-11,Cold Storage,Groceries,10,1000
EV001570,RESIDENT_00907,2026-06-10,Guardian,Health & Beauty,10,1000
EV000686,RESIDENT_00407,2026-06-05,Decathlon,Sports,5,500
EV000783,RESIDENT_00457,2026-05-14,Kopitiam,Food & Beverage,10,1000
EV000310,RESIDENT_00179,2026-05-18,Kopitiam,Food & Beverage,2,200
EV001877,RESIDENT_01084,2026-05-25,Watsons,Health & Beauty,15,1500
EV002112,RESIDENT_01221,2026-04-23,Decathlon,Sports,2,200
EV000978,RESIDENT_00578,2026-05-07,Watsons,Health & Beauty,2,200
EV002498,RESIDENT_01457,2026-04-03,Sheng Siong,Groceries,10,1000
EV001785,RESIDENT_01025,2026-05-20,Sheng Siong,Groceries,15,1500
EV001364,RESIDENT_00799,2026-05-02,Watsons,Health & Beauty,5,500
EV002124,RESIDENT_01228,2026-05-08,Decathlon,Sports,5,500
EV001299,RESIDENT_00765,2026-05-24,Kopitiam,Food & Beverage,2,200
EV002449,RESIDENT_01418,2026-05-11,Guardian,Health & Beauty,10,1000
EV001700,RESIDENT_00970,2026-06-22,NTUC FairPrice,Groceries,5,500
EV001902,RESIDENT_01102,2026-06-09,Guardian,Health & Beauty,15,1500
EV002273,RESIDENT_01307,2026-04-16,Sheng Siong,Groceries,5,500
EV001322,RESIDENT_00778,2026-05-07,Guardian,Health & Beauty,5,500
EV002019,RESIDENT_01164,2026-05-30,Guardian,Health & Beauty,15,1500
EV000811,RESIDENT_00470,2026-04-26,Decathlon,Sports,10,1000
EV000085,RESIDENT_00047,2026-06-05,Kopitiam,Food & Beverage,5,500
EV001070,RESIDENT_00633,2026-05-11,Decathlon,Sports,10,1000
EV002144,RESIDENT_01246,2026-05-22,Guardian,Health & Beauty,2,200
EV000157,RESIDENT_00090,2026-05-11,Watsons,Health & Beauty,10,1000
EV001031,RESIDENT_00607,2026-05-03,Kopitiam,Food & Beverage,5,500
EV002108,RESIDENT_01219,2026-04-20,Kopitiam,Food & Beverage,10,1000
EV000997,RESIDENT_00586,2026-06-22,Cold Storage,Groceries,2,200
EV000171,RESIDENT_00099,2026-06-11,Watsons,Health & Beauty,2,200
EV002090,RESIDENT_01208,2026-06-29,Watsons,Health & Beauty,10,1000
EV001514,RESIDENT_00877,2026-06-19,Guardian,Health & Beauty,2,200
EV002490,RESIDENT_01447,2026-05-19,NTUC FairPrice,Groceries,5,500
EV001496,RESIDENT_00869,2026-05-10,Watsons,Health & Beauty,5,500
EV000441,RESIDENT_00261,2026-05-10,NTUC FairPrice,Groceries,10,1000
EV001951,RESIDENT_01132,2026-04-09,Decathlon,Sports,10,1000
EV000425,RESIDENT_00251,2026-06-26,Watsons,Health & Beauty,5,500
EV000992,RESIDENT_00584,2026-06-07,Cold Storage,Groceries,5,500
EV000960,RESIDENT_00570,2026-06-30,Cold Storage,Groceries,5,500
EV002035,RESIDENT_01174,2026-06-07,Decathlon,Sports,5,500
EV002454,RESIDENT_01422,2026-05-24,Kopitiam,Food & Beverage,5,500
EV000974,RESIDENT_00578,2026-05-27,NTUC FairPrice,Groceries,2,200
EV002178,RESIDENT_01259,2026-04-23,Kopitiam,Food & Beverage,10,1000
EV000874,RESIDENT_00520,2026-06-05,Kopitiam,Food & Beverage,10,1000
EV001506,RESIDENT_00874,2026-05-24,Watsons,Health & Beauty,2,200
EV002243,RESIDENT_01290,2026-06-16,Decathlon,Sports,15,1500
EV000959,RESIDENT_00570,2026-06-04,Sheng Siong,Groceries,5,500
EV001001,RESIDENT_00589,2026-05-09,NTUC FairPrice,Groceries,5,500
EV000991,RESIDENT_00583,2026-04-04,Watsons,Health & Beauty,10,1000
EV002385,RESIDENT_01380,2026-05-20,Decathlon,Sports,5,500
EV000354,RESIDENT_00205,2026-06-20,Kopitiam,Food & Beverage,10,1000
EV000836,RESIDENT_00491,2026-04-30,Watsons,Health & Beauty,10,1000
EV000766,RESIDENT_00448,2026-05-04,Decathlon,Sports,10,1000
EV000986,RESIDENT_00580,2026-06-22,Kopitiam,Food & Beverage,10,1000
EV002151,RESIDENT_01248,2026-04-08,Sheng Siong,Groceries,10,1000
EV001374,RESIDENT_00803,2026-04-27,Kopitiam,Food & Beverage,5,500
EV001146,RESIDENT_00678,2026-04-04,Cold Storage,Groceries,5,500
EV001117,RESIDENT_00663,2026-05-10,Decathlon,Sports,10,1000
EV002185,RESIDENT_01262,2026-05-09,Guardian,Health & Beauty,10,1000
EV001813,RESIDENT_01044,2026-06-15,Kopitiam,Food & Beverage,5,500
EV000432,RESIDENT_00255,2026-05-18,Kopitiam,Food & Beverage,2,200
EV001695,RESIDENT_00968,2026-05-28,Sheng Siong,Groceries,5,500
EV000090,RESIDENT_00049,2026-04-16,Kopitiam,Food & Beverage,15,1500
EV002509,RESIDENT_01463,2026-05-22,Decathlon,Sports,10,1000
EV000414,RESIDENT_00243,2026-06-18,Watsons,Health & Beauty,5,500
EV001213,RESIDENT_00712,2026-04-12,Sheng Siong,Groceries,5,500
EV001459,RESIDENT_00848,2026-05-03,NTUC FairPrice,Groceries,10,1000
EV001098,RESIDENT_00652,2026-05-18,Kopitiam,Food & Beverage,10,1000
EV000729,RESIDENT_00426,2026-06-05,NTUC FairPrice,Groceries,15,1500
EV000826,RESIDENT_00479,2026-06-30,NTUC FairPrice,Groceries,5,500
EV001595,RESIDENT_00923,2026-05-21,NTUC FairPrice,Groceries,5,500
EV000350,RESIDENT_00203,2026-05-23,Sheng Siong,Groceries,10,1000
EV001776,RESIDENT_01021,2026-05-26,NTUC FairPrice,Groceries,10,1000
EV001923,RESIDENT_01116,2026-04-27,Guardian,Health & Beauty,5,500
EV001598,RESIDENT_00926,2026-05-13,NTUC FairPrice,Groceries,5,500
EV001753,RESIDENT_01007,2026-06-08,Decathlon,Sports,15,1500
EV001020,RESIDENT_00601,2026-05-02,Cold Storage,Groceries,15,1500
EV001476,RESIDENT_00858,2026-06-06,Sheng Siong,Groceries,15,1500
EV001986,RESIDENT_01149,2026-06-15,Guardian,Health & Beauty,10,1000
EV002437,RESIDENT_01410,2026-05-04,Kopitiam,Food & Beverage,10,1000
EV001963,RESIDENT_01140,2026-04-13,Decathlon,Sports,10,1000
EV001163,RESIDENT_00687,2026-06-20,NTUC FairPrice,Groceries,2,200
EV001739,RESIDENT_00991,2026-05-06,Decathlon,Sports,2,200
EV000267,RESIDENT_00152,2026-04-02,Watsons,Health & Beauty,15,1500
EV002203,RESIDENT_01268,2026-05-10,NTUC FairPrice,Groceries,2,200
EV002307,RESIDENT_01328,2026-04-17,Sheng Siong,Groceries,10,1000
EV001186,RESIDENT_00700,2026-05-05,NTUC FairPrice,Groceries,5,500
EV000284,RESIDENT_00163,2026-06-05,Guardian,Health & Beauty,10,1000
EV001015,RESIDENT_00600,2026-05-06,Watsons,Health & Beauty,10,1000
EV001750,RESIDENT_01006,2026-04-20,Sheng Siong,Groceries,2,200
EV000946,RESIDENT_00561,2026-04-11,Decathlon,Sports,10,1000
EV002254,RESIDENT_01296,2026-06-08,NTUC FairPrice,Groceries,10,1000
EV002504,RESIDENT_01459,2026-05-16,Cold Storage,Groceries,5,500
EV002540,RESIDENT_01483,2026-05-11,Decathlon,Sports,10,1000
EV000130,RESIDENT_00076,2026-06-15,Cold Storage,Groceries,5,500
EV000865,RESIDENT_00510,2026-06-14,Guardian,Health & Beauty,15,1500
EV002505,RESIDENT_01461,2026-04-05,Kopitiam,Food & Beverage,2,200
EV001854,RESIDENT_01069,2026-05-24,Kopitiam,Food & Beverage,2,200
EV002319,RESIDENT_01332,2026-06-13,Sheng Siong,Groceries,10,1000
EV000036,RESIDENT_00020,2026-05-16,Guardian,Health & Beauty,10,1000
EV002284,RESIDENT_01313,2026-06-20,Kopitiam,Food & Beverage,10,1000
EV002064,RESIDENT_01194,2026-06-14,Watsons,Health & Beauty,10,1000
EV001202,RESIDENT_00709,2026-05-23,Cold Storage,Groceries,5,500
EV000585,RESIDENT_00344,2026-04-10,Kopitiam,Food & Beverage,2,200
EV002373,RESIDENT_01372,2026-05-26,Decathlon,Sports,2,200
EV000249,RESIDENT_00146,2026-04-23,Decathlon,Sports,15,1500
EV001132,RESIDENT_00673,2026-04-03,Watsons,Health & Beauty,5,500
EV001734,RESIDENT_00989,2026-04-11,Decathlon,Sports,2,200
EV002056,RESIDENT_01190,2026-06-07,Guardian,Health & Beauty,2,200
EV001558,RESIDENT_00902,2026-06-17,Watsons,Health & Beauty,5,500
EV002217,RESIDENT_01276,2026-05-16,Sheng Siong,Groceries,2,200
EV002382,RESIDENT_01377,2026-05-04,Sheng Siong,Groceries,5,500
EV001958,RESIDENT_01136,2026-05-02,Watsons,Health & Beauty,10,1000
EV001005,RESIDENT_00590,2026-04-21,Decathlon,Sports,2,200
EV001764,RESIDENT_01014,2026-06-12,Watsons,Health & Beauty,5,500
EV002512,RESIDENT_01465,2026-04-22,Decathlon,Sports,5,500
EV002204,RESIDENT_01269,2026-06-26,Decathlon,Sports,10,1000
EV000337,RESIDENT_00199,2026-05-23,Decathlon,Sports,10,1000
EV001814,RESIDENT_01046,2026-04-17,NTUC FairPrice,Groceries,5,500
EV001046,RESIDENT_00619,2026-05-05,Cold Storage,Groceries,10,1000
EV000374,RESIDENT_00225,2026-04-10,Sheng Siong,Groceries,15,1500
EV001453,RESIDENT_00840,2026-04-25,Decathlon,Sports,2,200
EV000101,RESIDENT_00057,2026-06-05,Guardian,Health & Beauty,15,1500
EV000448,RESIDENT_00265,2026-05-17,Watsons,Health & Beauty,15,1500
EV000314,RESIDENT_00181,2026-06-23,Sheng Siong,Groceries,5,500
EV001533,RESIDENT_00885,2026-04-03,Decathlon,Sports,10,1000
EV002086,RESIDENT_01204,2026-05-31,Cold Storage,Groceries,2,200
EV002240,RESIDENT_01290,2026-04-29,Sheng Siong,Groceries,5,500
EV002251,RESIDENT_01293,2026-06-22,Kopitiam,Food & Beverage,5,500
EV002303,RESIDENT_01325,2026-06-10,Guardian,Health & Beauty,5,500
EV001432,RESIDENT_00832,2026-05-12,Kopitiam,Food & Beverage,5,500
EV001885,RESIDENT_01090,2026-04-25,Guardian,Health & Beauty,15,1500
EV002241,RESIDENT_01290,2026-06-28,Cold Storage,Groceries,10,1000
EV001352,RESIDENT_00793,2026-04-22,Kopitiam,Food & Beverage,5,500
EV000739,RESIDENT_00436,2026-06-23,Decathlon,Sports,5,500
EV000063,RESIDENT_00031,2026-04-22,Watsons,Health & Beauty,2,200
EV002458,RESIDENT_01424,2026-05-25,NTUC FairPrice,Groceries,5,500
EV001166,RESIDENT_00688,2026-06-09,Kopitiam,Food & Beverage,15,1500
EV000186,RESIDENT_00105,2026-06-14,Kopitiam,Food & Beverage,15,1500
EV000913,RESIDENT_00539,2026-04-30,Decathlon,Sports,5,500
EV001002,RESIDENT_00589,2026-06-18,Kopitiam,Food & Beverage,2,200
EV001194,RESIDENT_00706,2026-06-21,Guardian,Health & Beauty,5,500
EV002407,RESIDENT_01389,2026-05-14,Guardian,Health & Beauty,5,500
EV002338,RESIDENT_01349,2026-05-03,Watsons,Health & Beauty,5,500
EV000922,RESIDENT_00546,2026-05-05,NTUC FairPrice,Groceries,5,500
EV000602,RESIDENT_00358,2026-04-11,Cold Storage,Groceries,10,1000
EV002084,RESIDENT_01204,2026-04-26,Kopitiam,Food & Beverage,10,1000
EV001768,RESIDENT_01015,2026-05-05,Decathlon,Sports,10,1000
EV000344,RESIDENT_00201,2026-05-31,Cold Storage,Groceries,5,500
EV002235,RESIDENT_01287,2026-04-13,Cold Storage,Groceries,5,500
EV001224,RESIDENT_00718,2026-06-16,Watsons,Health & Beauty,5,500
EV001569,RESIDENT_00907,2026-06-09,Decathlon,Sports,15,1500
EV001369,RESIDENT_00802,2026-06-23,Guardian,Health & Beauty,10,1000
EV000496,RESIDENT_00290,2026-04-02,Cold Storage,Groceries,5,500
EV000968,RESIDENT_00574,2026-06-01,Watsons,Health & Beauty,2,200
EV001967,RESIDENT_01141,2026-04-09,Kopitiam,Food & Beverage,10,1000
EV001145,RESIDENT_00678,2026-06-03,Watsons,Health & Beauty,2,200
EV002017,RESIDENT_01164,2026-05-20,Guardian,Health & Beauty,5,500
EV000112,RESIDENT_00067,2026-06-01,Cold Storage,Groceries,2,200
EV000035,RESIDENT_00019,2026-04-15,Kopitiam,Food & Beverage,15,1500
EV002430,RESIDENT_01405,2026-06-03,Cold Storage,Groceries,15,1500
EV002515,RESIDENT_01465,2026-05-05,NTUC FairPrice,Groceries,10,1000
EV000904,RESIDENT_00536,2026-04-23,Kopitiam,Food & Beverage,10,1000
EV001778,RESIDENT_01021,2026-05-29,Kopitiam,Food & Beverage,5,500
EV001152,RESIDENT_00682,2026-04-14,NTUC FairPrice,Groceries,2,200
EV002459,RESIDENT_01424,2026-05-21,Cold Storage,Groceries,15,1500
EV000705,RESIDENT_00415,2026-05-25,Watsons,Health & Beauty,2,200
EV001084,RESIDENT_00642,2026-05-22,Kopitiam,Food & Beverage,2,200
EV001563,RESIDENT_00903,2026-06-15,Decathlon,Sports,5,500
EV001689,RESIDENT_00967,2026-06-07,Decathlon,Sports,10,1000
EV001667,RESIDENT_00954,2026-06-05,Guardian,Health & Beauty,5,500
EV001405,RESIDENT_00818,2026-04-21,Cold Storage,Groceries,5,500
EV001510,RESIDENT_00876,2026-06-13,Decathlon,Sports,15,1500
EV001752,RESIDENT_01007,2026-05-18,NTUC FairPrice,Groceries,10,1000
EV000505,RESIDENT_00294,2026-06-20,NTUC FairPrice,Groceries,10,1000
EV000953,RESIDENT_00566,2026-04-16,Kopitiam,Food & Beverage,10,1000
EV000124,RESIDENT_00074,2026-04-21,Guardian,Health & Beauty,15,1500
EV001373,RESIDENT_00802,2026-06-21,Guardian,Health & Beauty,5,500
EV002341,RESIDENT_01351,2026-04-22,NTUC FairPrice,Groceries,10,1000
EV001185,RESIDENT_00700,2026-06-04,Sheng Siong,Groceries,5,500
EV000534,RESIDENT_00310,2026-06-04,Cold Storage,Groceries,5,500
EV000624,RESIDENT_00367,2026-05-31,Kopitiam,Food & Beverage,15,1500
EV000562,RESIDENT_00330,2026-05-28,Cold Storage,Groceries,15,1500
EV001943,RESIDENT_01127,2026-05-28,Decathlon,Sports,10,1000
EV002548,RESIDENT_01487,2026-04-12,Watsons,Health & Beauty,2,200
EV000199,RESIDENT_00111,2026-06-16,Guardian,Health & Beauty,5,500
EV002305,RESIDENT_01326,2026-04-30,Guardian,Health & Beauty,2,200
EV002116,RESIDENT_01221,2026-05-20,NTUC FairPrice,Groceries,5,500
EV001188,RESIDENT_00702,2026-04-28,Decathlon,Sports,2,200
EV002141,RESIDENT_01244,2026-05-28,Sheng Siong,Groceries,15,1500
EV000838,RESIDENT_00492,2026-06-14,Watsons,Health & Beauty,10,1000
EV000883,RESIDENT_00524,2026-06-16,Cold Storage,Groceries,15,1500
EV002046,RESIDENT_01183,2026-05-08,Cold Storage,Groceries,5,500
EV002261,RESIDENT_01300,2026-04-29,Guardian,Health & Beauty,10,1000
EV000364,RESIDENT_00209,2026-06-26,NTUC FairPrice,Groceries,5,500
EV001681,RESIDENT_00962,2026-05-05,Sheng Siong,Groceries,10,1000
EV002532,RESIDENT_01480,2026-05-18,Sheng Siong,Groceries,5,500
EV002234,RESIDENT_01287,2026-04-10,Kopitiam,Food & Beverage,10,1000
EV000336,RESIDENT_00199,2026-04-22,Cold Storage,Groceries,10,1000
EV001950,RESIDENT_01131,2026-05-09,Decathlon,Sports,2,200
EV000837,RESIDENT_00492,2026-06-08,Sheng Siong,Groceries,5,500
EV002453,RESIDENT_01420,2026-04-15,Watsons,Health & Beauty,5,500
EV001517,RESIDENT_00878,2026-05-28,Guardian,Health & Beauty,15,1500
EV002211,RESIDENT_01272,2026-04-14,NTUC FairPrice,Groceries,10,1000
EV001301,RESIDENT_00767,2026-05-30,Watsons,Health & Beauty,5,500
EV000642,RESIDENT_00378,2026-06-18,Watsons,Health & Beauty,5,500
EV002016,RESIDENT_01164,2026-05-29,Watsons,Health & Beauty,15,1500
EV000058,RESIDENT_00029,2026-05-04,Cold Storage,Groceries,5,500
EV002403,RESIDENT_01388,2026-06-11,Decathlon,Sports,5,500
EV001082,RESIDENT_00641,2026-04-08,Watsons,Health & Beauty,5,500
EV001957,RESIDENT_01135,2026-05-29,Kopitiam,Food & Beverage,5,500
EV001682,RESIDENT_00962,2026-05-13,Cold Storage,Groceries,2,200
EV001679,RESIDENT_00961,2026-04-01,Guardian,Health & Beauty,10,1000
EV002072,RESIDENT_01196,2026-05-09,Watsons,Health & Beauty,10,1000
EV001094,RESIDENT_00650,2026-06-29,NTUC FairPrice,Groceries,10,1000
EV000057,RESIDENT_00026,2026-06-17,Kopitiam,Food & Beverage,10,1000
EV002348,RESIDENT_01356,2026-05-05,NTUC FairPrice,Groceries,10,1000
EV001251,RESIDENT_00739,2026-06-07,Cold Storage,Groceries,5,500
EV000237,RESIDENT_00139,2026-05-30,Watsons,Health & Beauty,10,1000
EV000823,RESIDENT_00478,2026-04-19,NTUC FairPrice,Groceries,5,500
EV000266,RESIDENT_00151,2026-05-22,Watsons,Health & Beauty,5,500
EV001196,RESIDENT_00707,2026-05-29,Sheng Siong,Groceries,15,1500
EV001068,RESIDENT_00631,2026-06-01,Cold Storage,Groceries,5,500
EV001530,RESIDENT_00885,2026-04-01,Sheng Siong,Groceries,2,200
EV001233,RESIDENT_00727,2026-04-24,Decathlon,Sports,5,500
EV000408,RESIDENT_00240,2026-05-18,Guardian,Health & Beauty,5,500
EV001547,RESIDENT_00894,2026-05-18,Cold Storage,Groceries,2,200
EV000203,RESIDENT_00116,2026-05-07,Decathlon,Sports,10,1000
EV000734,RESIDENT_00434,2026-05-14,Sheng Siong,Groceries,5,500
EV002126,RESIDENT_01231,2026-06-23,Watsons,Health & Beauty,10,1000
EV001625,RESIDENT_00936,2026-05-26,Watsons,Health & Beauty,10,1000
EV001156,RESIDENT_00684,2026-06-11,Decathlon,Sports,2,200
EV001709,RESIDENT_00974,2026-04-22,Decathlon,Sports,10,1000
EV000476,RESIDENT_00280,2026-06-27,Decathlon,Sports,10,1000
EV000605,RESIDENT_00359,2026-05-15,Watsons,Health & Beauty,10,1000
EV000038,RESIDENT_00020,2026-06-01,Kopitiam,Food & Beverage,10,1000
EV000853,RESIDENT_00502,2026-06-04,Sheng Siong,Groceries,10,1000
EV001389,RESIDENT_00808,2026-05-15,Guardian,Health & Beauty,10,1000
EV000202,RESIDENT_00115,2026-05-20,Cold Storage,Groceries,2,200
EV001596,RESIDENT_00925,2026-04-18,Guardian,Health & Beauty,10,1000
EV001440,RESIDENT_00836,2026-04-12,Guardian,Health & Beauty,5,500
EV002480,RESIDENT_01441,2026-05-08,Sheng Siong,Groceries,5,500
EV001771,RESIDENT_01016,2026-06-05,Cold Storage,Groceries,5,500
EV001942,RESIDENT_01127,2026-06-14,Cold Storage,Groceries,10,1000
EV002270,RESIDENT_01306,2026-04-13,Decathlon,Sports,10,1000
EV000759,RESIDENT_00444,2026-06-02,Kopitiam,Food & Beverage,2,200
EV000097,RESIDENT_00054,2026-05-10,Sheng Siong,Groceries,10,1000
EV000728,RESIDENT_00426,2026-06-04,Guardian,Health & Beauty,2,200
EV001577,RESIDENT_00913,2026-04-02,Decathlon,Sports,5,500
EV000829,RESIDENT_00485,2026-04-28,NTUC FairPrice,Groceries,10,1000
EV000231,RESIDENT_00137,2026-05-02,Sheng Siong,Groceries,2,200
EV000381,RESIDENT_00229,2026-05-01,Guardian,Health & Beauty,5,500
EV001865,RESIDENT_01075,2026-05-27,Sheng Siong,Groceries,2,200
EV001427,RESIDENT_00831,2026-05-03,Decathlon,Sports,2,200
EV001738,RESIDENT_00990,2026-04-25,Kopitiam,Food & Beverage,15,1500
EV002026,RESIDENT_01169,2026-06-14,Cold Storage,Groceries,10,1000
EV001055,RESIDENT_00625,2026-05-01,Decathlon,Sports,5,500
EV000951,RESIDENT_00566,2026-06-01,Cold Storage,Groceries,2,200
EV002068,RESIDENT_01195,2026-06-14,Kopitiam,Food & Beverage,2,200
EV001784,RESIDENT_01024,2026-06-10,Guardian,Health & Beauty,10,1000
EV002337,RESIDENT_01348,2026-06-23,NTUC FairPrice,Groceries,5,500
EV001608,RESIDENT_00929,2026-04-13,Cold Storage,Groceries,10,1000
EV000806,RESIDENT_00468,2026-05-16,Decathlon,Sports,2,200
