resident_id,log_date,meal_type,food_item,calories,healthier_choice_flag
RESIDENT_01266,2026-05-19,Lunch,Thunder tea rice,146,Y
RESIDENT_00420,2026-06-18,Breakfast,Laksa,,N
RESIDENT_00401,2026-04-13,Lunch,Steamed fish & veg,405,Y
RESIDENT_01269,2026-06-18,Lunch,Laksa,523,N
RESIDENT_00127,2026-06-05,Dinner,Thunder tea rice,142,Y
RESIDENT_00037,2026-04-28,Lunch,Salad bowl,139,Y
RESIDENT_01322,2026-04-09,Breakfast,Char kway teow,580,N
RESIDENT_00650,2026-05-19,Snack,Yong tau foo (soup),217,Y
RESIDENT_01286,2026-04-15,Breakfast,Nasi lemak,834,N
RESIDENT_00393,2026-04-08,Dinner,Yong tau foo (soup),212,Y
RESIDENT_01228,2026-05-16,Dinner,Roti prata,726,N
RESIDENT_00252,2026-05-04,Lunch,Laksa,457,N
RESIDENT_01487,2026-06-03,Lunch,Char kway teow,686,N
RESIDENT_00375,2026-04-04,Snack,Bubble tea,839,N
RESIDENT_01458,2026-04-11,Breakfast,Laksa,780,N
RESIDENT_00440,2026-05-16,Lunch,Fruit bowl,379,Y
RESIDENT_00924,2026-05-09,Snack,Roti prata,850,N
RESIDENT_00806,2026-05-27,Snack,Nasi lemak,744,N
RESIDENT_01053,2026-05-21,Breakfast,Kopi-O (no sugar),5,Y
RESIDENT_01070,2026-05-30,Lunch,Bubble tea,522,N
RESIDENT_00741,2026-05-14,Dinner,Fruit bowl,385,Y
RESIDENT_00841,2026-05-02,Lunch,Fried bee hoon,803,N
RESIDENT_00103,2026-06-17,Snack,Roti prata,747,N
RESIDENT_00460,2026-05-13,Breakfast,Yong tau foo (soup),207,Y
RESIDENT_00612,2026-06-26,Snack,Laksa,749,N
RESIDENT_01417,2026-06-26,Snack,Laksa,642,N
RESIDENT_00522,2026-04-27,Lunch,Chicken rice,811,N
RESIDENT_00125,2026-06-16,Snack,Laksa,538,N
RESIDENT_01168,2026-06-14,Breakfast,Nasi lemak,822,N
RESIDENT_00414,2026-04-16,Dinner,Bubble tea,705,N
RESIDENT_01469,2026-04-27,Breakfast,Fruit bowl,304,Y
RESIDENT_00591,2026-04-20,Lunch,Laksa,540,N
RESIDENT_00201,2026-06-12,Breakfast,Fruit bowl,261,Y
RESIDENT_01037,2026-04-09,Breakfast,Thunder tea rice,218,Y
RESIDENT_01415,2026-04-08,Snack,Fruit bowl,157,Y
RESIDENT_00990,2026-04-28,Lunch,Nasi lemak,737,N
RESIDENT_00303,2026-05-22,Dinner,Wholegrain cereal,309,Y
RESIDENT_00845,2026-05-18,Breakfast,Yong tau foo (soup),154,Y
RESIDENT_00580,2026-05-16,Snack,Fruit bowl,127,Y
RESIDENT_00714,2026-05-03,Dinner,Steamed fish & veg,311,Y
RESIDENT_00578,2026-06-18,Lunch,Salad bowl,201,Y
RESIDENT_00913,2026-06-08,Lunch,Nasi lemak,820,N
RESIDENT_00043,2026-04-28,Breakfast,Laksa,782,N
RESIDENT_00961,2026-04-09,Dinner,Roti prata,562,N
RESIDENT_00993,2026-04-10,Dinner,Salad bowl,356,Y
RESIDENT_00954,2026-06-02,Breakfast,Bubble tea,528,N
RESIDENT_01177,2026-04-10,Dinner,Thunder tea rice,264,Y
RESIDENT_01292,2026-06-14,Snack,Roti prata,450,N
RESIDENT_00662,2026-05-17,Snack,Fried bee hoon,684,N
RESIDENT_01161,2026-04-28,Dinner,Fruit bowl,286,Y
RESIDENT_00108,2026-04-07,Snack,Thunder tea rice,217,Y
RESIDENT_00438,2026-04-27,Snack,Salad bowl,152,Y
RESIDENT_00165,2026-04-18,Dinner,Thunder tea rice,190,Y
RESIDENT_01321,2026-05-22,Snack,Fried bee hoon,565,N
RESIDENT_00371,2026-05-12,Dinner,Wholegrain cereal,334,Y
RESIDENT_00541,2026-04-29,Snack,Laksa,535,N
RESIDENT_01269,2026-06-16,Snack,Chicken rice,638,N
RESIDENT_00243,2026-05-23,Dinner,Steamed fish & veg,242,Y
RESIDENT_00777,2026-04-02,Breakfast,Oats & berries,207,Y
RESIDENT_00279,2026-06-21,Breakfast,Thunder tea rice,147,Y
RESIDENT_00529,2026-06-07,Breakfast,Laksa,597,N
RESIDENT_01493,2026-05-15,Lunch,Fried bee hoon,731,N
RESIDENT_00910,2026-05-19,Lunch,Fruit bowl,228,Y
RESIDENT_01203,2026-05-21,Snack,Kopi-O (no sugar),5,Y
RESIDENT_00770,2026-06-23,Snack,Thunder tea rice,379,Y
RESIDENT_00988,2026-04-14,Lunch,Fruit bowl,273,Y
RESIDENT_01387,2026-05-24,Snack,Chicken rice,629,N
RESIDENT_00685,2026-04-07,Breakfast,Wholegrain cereal,122,Y
RESIDENT_00453,2026-04-05,Lunch,Laksa,764,N
RESIDENT_00681,2026-05-30,Dinner,Fried bee hoon,687,N
RESIDENT_01012,2026-05-14,Lunch,Roti prata,451,N
RESIDENT_01459,2026-04-11,Lunch,Nasi lemak,685,N
RESIDENT_00839,2026-05-31,Lunch,Bubble tea,598,N
RESIDENT_00335,2026-06-09,Dinner,Kopi-O (no sugar),5,Y
RESIDENT_00848,2026-05-03,Snack,Char kway teow,492,N
RESIDENT_00722,2026-05-13,Lunch,Steamed fish & veg,377,Y
RESIDENT_00672,2026-04-28,Dinner,Laksa,563,N
RESIDENT_01447,2026-05-05,Dinner,Fried bee hoon,832,N
RESIDENT_00649,2026-05-13,Dinner,Chicken rice,541,N
RESIDENT_00641,2026-04-07,Snack,Bubble tea,563,N
RESIDENT_00808,2026-05-02,Breakfast,Wholegrain cereal,181,Y
RESIDENT_01396,2026-04-07,Lunch,Roti prata,513,N
RESIDENT_01021,2026-06-13,Dinner,Laksa,491,N
RESIDENT_01142,2026-06-15,Dinner,Oats & berries,303,Y
RESIDENT_00254,2026-04-20,Dinner,Wholegrain cereal,292,Y
RESIDENT_00143,2026-05-17,Snack,Bubble tea,602,N
RESIDENT_00474,2026-04-25,Snack,Fruit bowl,402,Y
RESIDENT_00816,2026-05-20,Breakfast,Fruit bowl,405,Y
RESIDENT_00813,2026-05-19,Lunch,Oats & berries,214,Y
RESIDENT_00188,2026-04-26,Lunch,Laksa,640,N
RESIDENT_00840,2026-04-11,Lunch,Chicken rice,695,N
RESIDENT_01279,2026-04-03,Lunch,Thunder tea rice,201,Y
RESIDENT_01188,2026-05-29,Lunch,Fruit bowl,170,Y
RESIDENT_00225,2026-05-07,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_00754,2026-05-27,Dinner,Steamed fish & veg,286,Y
RESIDENT_01275,2026-04-27,Snack,Kopi-O (no sugar),5,Y
RESIDENT_01450,2026-06-29,Breakfast,Bubble tea,504,N
RESIDENT_00851,2026-06-25,Breakfast,Fruit bowl,416,Y
RESIDENT_01410,2026-04-30,Dinner,Bubble tea,746,N
RESIDENT_01143,2026-04-21,Snack,Char kway teow,562,N
RESIDENT_00047,2026-06-02,Snack,Wholegrain cereal,362,Y
RESIDENT_00967,2026-04-30,Dinner,Oats & berries,234,Y
RESIDENT_01477,2026-06-20,Lunch,Fried bee hoon,835,N
RESIDENT_00793,2026-05-16,Breakfast,Wholegrain cereal,265,Y
RESIDENT_00292,2026-06-24,Snack,Nasi lemak,765,N
RESIDENT_01400,2026-06-26,Lunch,Laksa,815,N
RESIDENT_00954,2026-04-28,Lunch,Yong tau foo (soup),231,Y
RESIDENT_00140,2026-06-25,Snack,Steamed fish & veg,280,Y
RESIDENT_01413,2026-04-24,Breakfast,Bubble tea,837,N
RESIDENT_01157,2026-04-03,Dinner,Thunder tea rice,373,Y
RESIDENT_00457,2026-05-08,Snack,Fruit bowl,241,Y
RESIDENT_01413,2026-05-15,Snack,Thunder tea rice,407,Y
RESIDENT_01442,2026-05-22,Snack,Steamed fish & veg,327,Y
RESIDENT_00907,2026-06-20,Snack,Steamed fish & veg,120,Y
RESIDENT_01147,2026-06-23,Lunch,Fried bee hoon,535,N
RESIDENT_00283,2026-06-27,Breakfast,Yong tau foo (soup),319,Y
RESIDENT_00999,2026-04-07,Lunch,Bubble tea,698,N
RESIDENT_01198,2026-06-12,Breakfast,Laksa,458,N
RESIDENT_00015,2026-04-04,Dinner,Char kway teow,489,N
RESIDENT_00886,2026-04-28,Snack,Chicken rice,809,N
RESIDENT_00202,2026-05-04,Breakfast,Laksa,626,N
RESIDENT_01265,2026-05-30,Lunch,Char kway teow,724,N
RESIDENT_00262,2026-06-01,Snack,Char kway teow,491,N
RESIDENT_00020,2026-05-05,Breakfast,Roti prata,541,N
RESIDENT_01315,2026-04-10,Snack,Steamed fish & veg,176,Y
RESIDENT_00813,2026-05-14,Snack,Nasi lemak,546,N
RESIDENT_01119,2026-06-10,Breakfast,Fried bee hoon,804,N
RESIDENT_00493,2026-04-17,Lunch,Salad bowl,194,Y
RESIDENT_00649,2026-04-09,Breakfast,Roti prata,766,N
RESIDENT_00712,2026-04-29,Snack,Fruit bowl,148,Y
RESIDENT_00283,2026-04-05,Dinner,Yong tau foo (soup),275,Y
RESIDENT_00438,2026-05-03,Breakfast,Salad bowl,182,Y
RESIDENT_00243,2026-06-28,Lunch,Steamed fish & veg,220,Y
RESIDENT_00831,2026-05-20,Breakfast,Salad bowl,317,Y
RESIDENT_00106,2026-05-26,Breakfast,Wholegrain cereal,320,Y
RESIDENT_00410,2026-06-16,Lunch,Chicken rice,663,N
RESIDENT_01227,2026-06-14,Breakfast,Chicken rice,701,N
RESIDENT_01165,2026-06-05,Lunch,Chicken rice,484,N
RESIDENT_00279,2026-05-02,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_00863,2026-06-26,Breakfast,Chicken rice,732,N
RESIDENT_00961,2026-06-26,Breakfast,Fried bee hoon,733,N
RESIDENT_00928,2026-04-20,Dinner,Laksa,499,N
RESIDENT_00918,2026-05-19,Snack,Fried bee hoon,722,N
RESIDENT_00116,2026-04-12,Dinner,Nasi lemak,721,N
RESIDENT_00886,2026-04-14,Dinner,Char kway teow,554,N
RESIDENT_00907,2026-05-27,Snack,Laksa,563,N
RESIDENT_01124,2026-04-16,Dinner,Roti prata,820,N
RESIDENT_00077,2026-04-10,Lunch,Nasi lemak,692,N
RESIDENT_00499,2026-04-03,Snack,Roti prata,663,N
RESIDENT_01414,2026-04-10,Snack,Roti prata,789,N
RESIDENT_01140,2026-05-02,Breakfast,Nasi lemak,689,N
RESIDENT_00649,2026-06-15,Snack,Oats & berries,297,Y
RESIDENT_01059,2026-06-22,Snack,Fried bee hoon,495,N
RESIDENT_01492,2026-05-14,Snack,Char kway teow,645,N
RESIDENT_01086,2026-05-21,Snack,Fried bee hoon,824,N
RESIDENT_00034,2026-06-28,Dinner,Bubble tea,648,N
RESIDENT_00111,2026-04-24,Breakfast,Thunder tea rice,154,Y
RESIDENT_01023,2026-04-20,Dinner,Wholegrain cereal,394,Y
RESIDENT_00810,2026-06-24,Dinner,Roti prata,521,N
RESIDENT_00542,2026-05-26,Breakfast,Fried bee hoon,491,N
RESIDENT_00297,2026-04-25,Lunch,Yong tau foo (soup),122,Y
RESIDENT_00619,2026-06-05,Snack,Bubble tea,845,N
RESIDENT_00324,2026-05-14,Breakfast,Chicken rice,707,N
RESIDENT_00060,2026-06-19,Snack,Chicken rice,729,N
RESIDENT_00041,2026-04-26,Lunch,Yong tau foo (soup),263,Y
RESIDENT_00658,2026-06-30,Snack,Salad bowl,291,Y
RESIDENT_00664,2026-04-22,Dinner,Bubble tea,603,N
RESIDENT_01259,2026-05-02,Lunch,Steamed fish & veg,342,Y
RESIDENT_01303,2026-05-25,Snack,Oats & berries,141,Y
RESIDENT_00699,2026-05-10,Dinner,Bubble tea,539,N
RESIDENT_01219,2026-04-10,Lunch,Char kway teow,752,N
RESIDENT_00360,2026-06-14,Snack,Nasi lemak,774,N
RESIDENT_00407,2026-04-07,Breakfast,Wholegrain cereal,381,Y
RESIDENT_00589,2026-04-21,Snack,Roti prata,597,N
RESIDENT_01053,2026-06-25,Snack,Kopi-O (no sugar),5,Y
RESIDENT_01280,2026-04-30,Breakfast,Yong tau foo (soup),311,Y
RESIDENT_01261,2026-05-03,Breakfast,Bubble tea,749,N
RESIDENT_01002,2026-06-15,Snack,Fried bee hoon,821,N
RESIDENT_00750,2026-05-19,Breakfast,Oats & berries,257,Y
RESIDENT_00379,2026-06-02,Lunch,Salad bowl,224,Y
RESIDENT_00451,2026-06-30,Snack,Laksa,798,N
RESIDENT_00366,2026-04-10,Snack,Chicken rice,543,N
RESIDENT_00654,2026-05-14,Breakfast,Roti prata,712,N
RESIDENT_01022,2026-05-05,Dinner,Roti prata,799,N
RESIDENT_00959,2026-05-02,Lunch,Oats & berries,125,Y
RESIDENT_00588,2026-06-23,Snack,Yong tau foo (soup),161,Y
RESIDENT_00106,2026-04-11,Lunch,Fruit bowl,287,Y
RESIDENT_00075,2026-06-08,Lunch,Roti prata,542,N
RESIDENT_01290,2026-05-09,Lunch,Char kway teow,815,N
RESIDENT_01331,2026-06-07,Lunch,Thunder tea rice,123,Y
RESIDENT_01479,2026-04-03,Dinner,Laksa,743,N
RESIDENT_00800,2026-06-11,Snack,Chicken rice,835,N
RESIDENT_00850,2026-05-30,Breakfast,Wholegrain cereal,234,Y
RESIDENT_00175,2026-05-18,Breakfast,Nasi lemak,573,N
RESIDENT_01364,2026-05-29,Dinner,Nasi lemak,770,N
RESIDENT_00505,2026-05-01,Snack,Salad bowl,244,Y
RESIDENT_00873,2026-04-23,Breakfast,Thunder tea rice,230,Y
RESIDENT_00277,2026-06-20,Lunch,Thunder tea rice,159,Y
RESIDENT_00885,2026-04-04,Dinner,Kopi-O (no sugar),5,Y
RESIDENT_00857,2026-05-07,Snack,Fried bee hoon,478,N
RESIDENT_00850,2026-06-29,Dinner,Fried bee hoon,520,N
RESIDENT_00801,2026-05-24,Snack,Fried bee hoon,701,N
RESIDENT_00951,2026-06-23,Lunch,Oats & berries,352,Y
RESIDENT_00160,2026-05-22,Lunch,Laksa,803,N
RESIDENT_00753,2026-05-13,Lunch,Fried bee hoon,685,N
RESIDENT_00378,2026-04-11,Breakfast,Oats & berries,135,Y
RESIDENT_00950,2026-04-16,Lunch,Nasi lemak,544,N
RESIDENT_00130,2026-05-19,Snack,Roti prata,458,N
RESIDENT_01483,2026-04-10,Snack,Char kway teow,500,N
RESIDENT_01458,2026-04-10,Snack,Chicken rice,518,N
RESIDENT_01366,2026-06-26,Breakfast,Nasi lemak,737,N
RESIDENT_00866,2026-06-09,Breakfast,Steamed fish & veg,335,Y
RESIDENT_00526,2026-06-19,Snack,Fruit bowl,138,Y
RESIDENT_00720,2026-06-17,Dinner,Bubble tea,655,N
RESIDENT_00224,2026-06-07,Lunch,Fried bee hoon,653,N
RESIDENT_00778,2026-06-26,Snack,Chicken rice,558,N
RESIDENT_00449,2026-05-18,Breakfast,Bubble tea,688,N
RESIDENT_00567,2026-06-16,Snack,Oats & berries,333,Y
RESIDENT_00532,2026-04-06,Snack,Chicken rice,527,N
RESIDENT_00864,2026-04-02,Breakfast,Wholegrain cereal,315,Y
RESIDENT_01023,2026-04-11,Snack,Bubble tea,459,N
RESIDENT_00707,2026-04-19,Lunch,Fruit bowl,419,Y
RESIDENT_00862,2026-04-06,Breakfast,Bubble tea,507,N
RESIDENT_00285,2026-05-18,Dinner,Fried bee hoon,733,N
RESIDENT_00200,2026-05-05,Dinner,Wholegrain cereal,142,Y
RESIDENT_01477,2026-06-10,Dinner,Roti prata,478,N
RESIDENT_00860,2026-04-06,Lunch,Laksa,571,N
RESIDENT_01127,2026-06-02,Breakfast,Roti prata,799,N
RESIDENT_00695,2026-05-21,Lunch,Fried bee hoon,685,N
RESIDENT_01144,2026-04-08,Lunch,Laksa,674,N
RESIDENT_00901,2026-06-30,Breakfast,Fried bee hoon,622,N
RESIDENT_00039,2026-05-15,Breakfast,Laksa,516,N
RESIDENT_01447,2026-06-03,Breakfast,Kopi-O (no sugar),5,Y
RESIDENT_00175,2026-05-21,Snack,Oats & berries,195,Y
RESIDENT_00197,2026-06-16,Lunch,Thunder tea rice,287,Y
RESIDENT_00208,2026-04-02,Dinner,Salad bowl,153,Y
RESIDENT_00849,2026-05-01,Breakfast,Laksa,598,N
RESIDENT_00265,2026-04-01,Lunch,Steamed fish & veg,278,Y
RESIDENT_01360,2026-06-14,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_00203,2026-06-30,Dinner,Fruit bowl,362,Y
RESIDENT_00361,2026-05-10,Breakfast,Laksa,516,N
RESIDENT_00556,2026-05-04,Breakfast,Salad bowl,270,Y
RESIDENT_01379,2026-05-17,Lunch,Chicken rice,849,N
RESIDENT_00198,2026-06-08,Breakfast,Oats & berries,127,Y
RESIDENT_00262,2026-05-18,Snack,Nasi lemak,472,N
RESIDENT_00076,2026-05-02,Dinner,Fruit bowl,136,Y
RESIDENT_00780,2026-06-13,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_01263,2026-05-13,Snack,Laksa,682,N
RESIDENT_00893,2026-05-31,Dinner,Chicken rice,580,N
RESIDENT_01277,2026-04-07,Breakfast,Steamed fish & veg,313,Y
RESIDENT_01408,2026-05-14,Dinner,Salad bowl,265,Y
RESIDENT_00583,2026-04-03,Dinner,Chicken rice,632,N
RESIDENT_00627,2026-04-24,Lunch,Nasi lemak,743,N
RESIDENT_01392,2026-06-13,Breakfast,Char kway teow,565,N
RESIDENT_01293,2026-06-27,Breakfast,Salad bowl,167,Y
RESIDENT_00815,2026-06-08,Breakfast,Thunder tea rice,339,Y
RESIDENT_00146,2026-06-28,Snack,Salad bowl,336,Y
RESIDENT_00904,2026-05-02,Snack,Nasi lemak,707,N
RESIDENT_00262,2026-05-06,Lunch,Yong tau foo (soup),135,Y
RESIDENT_01270,2026-06-30,Snack,Thunder tea rice,417,Y
RESIDENT_01235,2026-06-24,Snack,Yong tau foo (soup),258,Y
RESIDENT_00305,2026-06-03,Snack,Oats & berries,417,Y
RESIDENT_00763,2026-04-06,Snack,Roti prata,836,N
RESIDENT_01043,2026-05-10,Snack,Kopi-O (no sugar),5,Y
RESIDENT_01497,2026-05-07,Dinner,Laksa,677,N
RESIDENT_00253,2026-04-29,Dinner,Roti prata,638,N
RESIDENT_01408,2026-06-08,Breakfast,Char kway teow,475,N
RESIDENT_00690,2026-06-09,Snack,Nasi lemak,598,N
RESIDENT_01293,2026-06-23,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_00831,2026-04-24,Breakfast,Steamed fish & veg,303,Y
RESIDENT_00326,2026-06-02,Dinner,Fried bee hoon,560,N
RESIDENT_00411,2026-05-13,Breakfast,Steamed fish & veg,410,Y
RESIDENT_00898,2026-05-25,Snack,Fruit bowl,346,Y
RESIDENT_01481,2026-06-07,Breakfast,Fried bee hoon,662,N
RESIDENT_01224,2026-04-26,Snack,Fried bee hoon,506,N
RESIDENT_00172,2026-06-28,Snack,Oats & berries,142,Y
RESIDENT_00003,2026-05-04,Dinner,Thunder tea rice,211,Y
RESIDENT_00870,2026-05-06,Breakfast,Yong tau foo (soup),338,Y
RESIDENT_00572,2026-06-13,Breakfast,Yong tau foo (soup),149,Y
RESIDENT_00665,2026-06-11,Dinner,Salad bowl,319,Y
RESIDENT_01398,2026-04-13,Breakfast,Roti prata,830,N
RESIDENT_01193,2026-04-18,Lunch,Fried bee hoon,742,N
RESIDENT_00793,2026-05-31,Dinner,Roti prata,784,N
RESIDENT_00953,2026-04-04,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_01024,2026-05-11,Snack,Roti prata,790,N
RESIDENT_01336,2026-05-12,Lunch,Oats & berries,296,Y
RESIDENT_00121,2026-04-16,Lunch,Roti prata,838,N
RESIDENT_01375,2026-05-11,Lunch,Yong tau foo (soup),277,Y
RESIDENT_00280,2026-04-01,Snack,Salad bowl,185,Y
RESIDENT_01065,2026-04-11,Dinner,Nasi lemak,558,N
RESIDENT_01075,2026-05-12,Dinner,Oats & berries,310,Y
RESIDENT_00650,2026-06-01,Snack,Oats & berries,254,Y
RESIDENT_00225,2026-05-09,Snack,Oats & berries,320,Y
RESIDENT_01326,2026-06-28,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_00029,2026-06-26,Lunch,Fruit bowl,193,Y
RESIDENT_00673,2026-04-28,Snack,Char kway teow,800,N
RESIDENT_00942,2026-05-05,Lunch,Chicken rice,595,N
RESIDENT_01438,2026-04-20,Breakfast,Oats & berries,255,Y
RESIDENT_00624,2026-04-11,Breakfast,Nasi lemak,658,N
RESIDENT_00730,2026-04-03,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_01398,2026-05-27,Dinner,Steamed fish & veg,163,Y
RESIDENT_01013,2026-05-28,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_00245,2026-06-15,Dinner,Oats & berries,185,Y
RESIDENT_00325,2026-06-17,Breakfast,Oats & berries,229,Y
RESIDENT_00001,2026-06-13,Breakfast,Char kway teow,682,N
RESIDENT_01035,2026-05-22,Dinner,Kopi-O (no sugar),5,Y
RESIDENT_00536,2026-06-16,Dinner,Steamed fish & veg,147,Y
RESIDENT_00767,2026-04-26,Dinner,Fried bee hoon,767,N
RESIDENT_01271,2026-05-29,Dinner,Fried bee hoon,707,N
RESIDENT_00626,2026-05-12,Breakfast,Fruit bowl,144,Y
RESIDENT_00382,2026-04-28,Breakfast,Chicken rice,571,N
RESIDENT_00988,2026-05-27,Breakfast,Salad bowl,319,Y
RESIDENT_00608,2026-04-03,Breakfast,Laksa,800,N
RESIDENT_00248,2026-04-20,Dinner,Char kway teow,645,N
RESIDENT_00214,2026-06-18,Breakfast,Yong tau foo (soup),419,Y
RESIDENT_01480,2026-06-29,Lunch,Laksa,617,N
RESIDENT_00144,2026-06-23,Dinner,Oats & berries,251,Y
RESIDENT_00370,2026-06-19,Dinner,Bubble tea,775,N
RESIDENT_00138,2026-06-19,Lunch,Wholegrain cereal,315,Y
RESIDENT_01025,2026-04-19,Breakfast,Chicken rice,588,N
RESIDENT_00269,2026-05-06,Lunch,Fried bee hoon,675,N
RESIDENT_01290,2026-04-11,Breakfast,Chicken rice,633,N
RESIDENT_00354,2026-05-04,Snack,Nasi lemak,714,N
RESIDENT_00850,2026-04-02,Lunch,Laksa,651,N
RESIDENT_00513,2026-06-03,Dinner,Thunder tea rice,254,Y
RESIDENT_01195,2026-06-23,Dinner,Wholegrain cereal,364,Y
RESIDENT_00149,2026-04-05,Snack,Bubble tea,510,N
RESIDENT_00065,2026-04-30,Dinner,Steamed fish & veg,232,Y
RESIDENT_01459,2026-05-19,Snack,Kopi-O (no sugar),5,Y
RESIDENT_01483,2026-05-19,Breakfast,Wholegrain cereal,389,Y
RESIDENT_00659,2026-06-28,Lunch,Char kway teow,821,N
RESIDENT_00368,2026-06-14,Breakfast,Roti prata,548,N
RESIDENT_00499,2026-05-14,Snack,Steamed fish & veg,147,Y
RESIDENT_01245,2026-06-18,Snack,Kopi-O (no sugar),5,Y
RESIDENT_01057,2026-06-05,Lunch,Fruit bowl,158,Y
RESIDENT_00850,2026-06-26,Lunch,Thunder tea rice,217,Y
RESIDENT_00039,2026-05-11,Dinner,Chicken rice,509,N
RESIDENT_01016,2026-05-19,Snack,Salad bowl,179,Y
RESIDENT_00049,2026-04-28,Dinner,Thunder tea rice,315,Y
RESIDENT_00981,2026-06-18,Lunch,Fried bee hoon,680,N
RESIDENT_01439,2026-05-05,Breakfast,Nasi lemak,586,N
RESIDENT_00739,2026-05-27,Snack,Salad bowl,358,Y
RESIDENT_01362,2026-04-20,Snack,Salad bowl,163,Y
RESIDENT_00310,2026-05-01,Snack,Yong tau foo (soup),316,Y
RESIDENT_00801,2026-04-04,Breakfast,Steamed fish & veg,147,Y
RESIDENT_01057,2026-04-30,Breakfast,Bubble tea,596,N
RESIDENT_01290,2026-06-29,Breakfast,Kopi-O (no sugar),5,Y
RESIDENT_00667,2026-06-02,Snack,Oats & berries,370,Y
RESIDENT_00785,2026-06-16,Lunch,Salad bowl,133,Y
RESIDENT_01427,2026-05-30,Lunch,Thunder tea rice,394,Y
RESIDENT_00096,2026-05-16,Dinner,Fried bee hoon,575,N
RESIDENT_00478,2026-06-28,Snack,Bubble tea,691,N
RESIDENT_00588,2026-04-25,Snack,Char kway teow,699,N
RESIDENT_01169,2026-06-27,Lunch,Char kway teow,730,N
RESIDENT_00712,2026-06-06,Dinner,Kopi-O (no sugar),5,Y
RESIDENT_01098,2026-05-04,Snack,Kopi-O (no sugar),5,Y
RESIDENT_00586,2026-06-03,Snack,Roti prata,775,N
RESIDENT_01359,2026-06-21,Breakfast,Kopi-O (no sugar),5,Y
RESIDENT_01149,2026-06-27,Dinner,Wholegrain cereal,341,Y
RESIDENT_00929,2026-06-11,Snack,Kopi-O (no sugar),5,Y
RESIDENT_00110,2026-04-03,Snack,Fruit bowl,400,Y
RESIDENT_00566,2026-06-09,Dinner,Yong tau foo (soup),279,Y
RESIDENT_01157,2026-06-12,Breakfast,Char kway teow,662,N
RESIDENT_00994,2026-05-05,Dinner,Yong tau foo (soup),241,Y
