booking_id,resident_id,event_id,event_name,event_type,event_date,region,booked_flag,attended_flag
BKG001659,RESIDENT_00678,EVT005,Sundays@thePark,Community Walk,2026-06-13,West,Y,N
BKG002874,RESIDENT_01161,EVT007,Weekend Cycling,Community Ride,2026-05-20,Central,Y,N
BKG000677,RESIDENT_00289,EVT003,Zumba Fiesta,Workout Class,2026-04-13,West,Y,Y
BKG003277,RESIDENT_01326,EVT007,Weekend Cycling,Community Ride,2026-05-25,Central,Y,Y
BKG001485,RESIDENT_00601,EVT004,Brisk Walk @ Park,Community Walk,2026-06-03,Central,Y,Y
BKG001926,RESIDENT_00789,EVT003,Zumba Fiesta,Workout Class,2026-05-07,West,Y,Y
BKG000605,RESIDENT_00265,EVT003,Zumba Fiesta,Workout Class,2026-05-06,East,Y,Y
BKG002962,RESIDENT_01202,EVT010,Nutrition Talk,Talk,2026-05-07,Central,Y,Y
BKG002296,RESIDENT_00926,EVT009,Health Screening Drive,Screening,2026-04-25,Central,Y,Y
BKG003139,RESIDENT_01271,EVT007,Weekend Cycling,Community Ride,2026-06-15,North-East,Y,Y
BKG000971,RESIDENT_00408,EVT006,Aqua Aerobics,Workout Class,2026-05-24,East,Y,N
BKG000782,RESIDENT_00332,EVT005,Sundays@thePark,Community Walk,2026-06-08,Central,Y,Y
BKG002771,RESIDENT_01125,EVT003,Zumba Fiesta,Workout Class,2026-04-18,Central,Y,N
BKG003545,RESIDENT_01450,EVT003,Zumba Fiesta,Workout Class,2026-05-25,North,Y,Y
BKG000943,RESIDENT_00397,EVT008,Strength & Mobility,Workout Class,2026-06-07,North-East,Y,Y
BKG002357,RESIDENT_00944,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-28,East,Y,Y
BKG002278,RESIDENT_00921,EVT002,HIIT @ CC,Workout Class,2026-05-21,North-East,Y,N
BKG002535,RESIDENT_01023,EVT009,Health Screening Drive,Screening,2026-04-12,West,Y,Y
BKG002619,RESIDENT_01056,EVT006,Aqua Aerobics,Workout Class,2026-04-24,Central,Y,Y
BKG000002,RESIDENT_00001,EVT003,Zumba Fiesta,Workout Class,2026-05-14,Central,Y,Y
BKG003394,RESIDENT_01376,EVT005,Sundays@thePark,Community Walk,2026-05-14,North-East,Y,Y
BKG000970,RESIDENT_00407,EVT003,Zumba Fiesta,Workout Class,2026-05-17,East,Y,Y
BKG000565,RESIDENT_00252,EVT009,Health Screening Drive,Screening,2026-04-25,West,Y,N
BKG003120,RESIDENT_01263,EVT004,Brisk Walk @ Park,Community Walk,2026-04-23,North,Y,Y
BKG002583,RESIDENT_01046,EVT006,Aqua Aerobics,Workout Class,2026-04-10,West,Y,Y
BKG001253,RESIDENT_00522,EVT002,HIIT @ CC,Workout Class,2026-05-19,North,Y,Y
BKG003609,RESIDENT_01485,EVT008,Strength & Mobility,Workout Class,2026-05-25,Central,Y,Y
BKG000199,RESIDENT_00091,EVT005,Sundays@thePark,Community Walk,2026-04-21,North-East,Y,Y
BKG002456,RESIDENT_00980,EVT007,Weekend Cycling,Community Ride,2026-04-10,North-East,Y,Y
BKG003453,RESIDENT_01405,EVT003,Zumba Fiesta,Workout Class,2026-06-15,North,Y,N
BKG003049,RESIDENT_01240,EVT002,HIIT @ CC,Workout Class,2026-04-10,Central,Y,Y
BKG001009,RESIDENT_00424,EVT006,Aqua Aerobics,Workout Class,2026-05-11,North,Y,Y
BKG000667,RESIDENT_00286,EVT002,HIIT @ CC,Workout Class,2026-05-30,North-East,Y,N
BKG002615,RESIDENT_01055,EVT009,Health Screening Drive,Screening,2026-05-01,West,Y,Y
BKG000285,RESIDENT_00132,EVT008,Strength & Mobility,Workout Class,2026-05-03,North,Y,Y
BKG002087,RESIDENT_00844,EVT002,HIIT @ CC,Workout Class,2026-06-25,West,Y,Y
BKG002984,RESIDENT_01208,EVT006,Aqua Aerobics,Workout Class,2026-05-05,East,Y,Y
BKG002522,RESIDENT_01016,EVT005,Sundays@thePark,Community Walk,2026-06-18,West,Y,Y
BKG002195,RESIDENT_00881,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-16,East,Y,Y
BKG002047,RESIDENT_00832,EVT006,Aqua Aerobics,Workout Class,2026-06-03,Central,Y,Y
BKG002679,RESIDENT_01091,EVT003,Zumba Fiesta,Workout Class,2026-06-16,West,Y,Y
BKG002072,RESIDENT_00838,EVT002,HIIT @ CC,Workout Class,2026-05-08,North,Y,Y
BKG002334,RESIDENT_00937,EVT004,Brisk Walk @ Park,Community Walk,2026-04-15,North,Y,Y
BKG001306,RESIDENT_00541,EVT009,Health Screening Drive,Screening,2026-05-24,West,Y,N
BKG003034,RESIDENT_01229,EVT007,Weekend Cycling,Community Ride,2026-06-26,Central,Y,N
BKG003388,RESIDENT_01375,EVT007,Weekend Cycling,Community Ride,2026-05-27,North,Y,Y
BKG003471,RESIDENT_01416,EVT003,Zumba Fiesta,Workout Class,2026-06-28,Central,Y,Y
BKG003096,RESIDENT_01257,EVT002,HIIT @ CC,Workout Class,2026-05-30,Central,Y,N
BKG001773,RESIDENT_00732,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-07,North,Y,N
BKG003020,RESIDENT_01223,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-24,North,Y,N
BKG002315,RESIDENT_00930,EVT008,Strength & Mobility,Workout Class,2026-04-02,West,Y,N
BKG003353,RESIDENT_01362,EVT010,Nutrition Talk,Talk,2026-05-03,West,Y,N
BKG001979,RESIDENT_00804,EVT006,Aqua Aerobics,Workout Class,2026-06-15,North,Y,Y
BKG001636,RESIDENT_00668,EVT004,Brisk Walk @ Park,Community Walk,2026-04-02,East,Y,N
BKG000886,RESIDENT_00378,EVT007,Weekend Cycling,Community Ride,2026-05-03,North,Y,Y
BKG002618,RESIDENT_01056,EVT008,Strength & Mobility,Workout Class,2026-05-12,Central,Y,Y
BKG001830,RESIDENT_00754,EVT010,Nutrition Talk,Talk,2026-04-04,North-East,Y,Y
BKG000119,RESIDENT_00051,EVT009,Health Screening Drive,Screening,2026-05-02,East,Y,Y
BKG001694,RESIDENT_00694,EVT010,Nutrition Talk,Talk,2026-06-16,East,Y,N
BKG003165,RESIDENT_01281,EVT005,Sundays@thePark,Community Walk,2026-05-20,North,Y,Y
BKG002936,RESIDENT_01190,EVT009,Health Screening Drive,Screening,2026-06-18,Central,Y,Y
BKG001383,RESIDENT_00570,EVT010,Nutrition Talk,Talk,2026-06-03,North-East,Y,Y
BKG001437,RESIDENT_00583,EVT003,Zumba Fiesta,Workout Class,2026-06-22,Central,Y,Y
BKG003338,RESIDENT_01355,EVT004,Brisk Walk @ Park,Community Walk,2026-05-29,West,Y,N
BKG002188,RESIDENT_00880,EVT009,Health Screening Drive,Screening,2026-05-05,Central,Y,Y
BKG000574,RESIDENT_00255,EVT003,Zumba Fiesta,Workout Class,2026-05-09,Central,Y,Y
BKG003216,RESIDENT_01300,EVT010,Nutrition Talk,Talk,2026-04-14,Central,Y,N
BKG003500,RESIDENT_01428,EVT003,Zumba Fiesta,Workout Class,2026-04-26,North,Y,N
BKG003475,RESIDENT_01417,EVT005,Sundays@thePark,Community Walk,2026-04-16,North-East,Y,N
BKG000239,RESIDENT_00106,EVT006,Aqua Aerobics,Workout Class,2026-06-21,North-East,Y,Y
BKG001319,RESIDENT_00547,EVT002,HIIT @ CC,Workout Class,2026-05-06,Central,Y,Y
BKG001677,RESIDENT_00685,EVT006,Aqua Aerobics,Workout Class,2026-06-15,East,Y,N
BKG001036,RESIDENT_00438,EVT006,Aqua Aerobics,Workout Class,2026-04-13,Central,Y,N
BKG000392,RESIDENT_00180,EVT008,Strength & Mobility,Workout Class,2026-04-21,West,Y,N
BKG000093,RESIDENT_00041,EVT002,HIIT @ CC,Workout Class,2026-05-03,North-East,Y,Y
BKG000803,RESIDENT_00344,EVT008,Strength & Mobility,Workout Class,2026-06-23,North,Y,Y
BKG002928,RESIDENT_01187,EVT002,HIIT @ CC,Workout Class,2026-05-16,West,Y,Y
BKG001617,RESIDENT_00663,EVT007,Weekend Cycling,Community Ride,2026-04-18,North,Y,N
BKG000843,RESIDENT_00360,EVT002,HIIT @ CC,Workout Class,2026-06-14,North-East,Y,Y
BKG002896,RESIDENT_01172,EVT007,Weekend Cycling,Community Ride,2026-04-11,East,Y,Y
BKG000686,RESIDENT_00292,EVT002,HIIT @ CC,Workout Class,2026-04-11,North,Y,N
BKG002950,RESIDENT_01195,EVT002,HIIT @ CC,Workout Class,2026-04-05,West,Y,Y
BKG001254,RESIDENT_00522,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-02,North,Y,Y
BKG000603,RESIDENT_00265,EVT006,Aqua Aerobics,Workout Class,2026-05-13,East,Y,Y
BKG001991,RESIDENT_00809,EVT004,Brisk Walk @ Park,Community Walk,2026-05-30,North,Y,Y
BKG000972,RESIDENT_00409,EVT009,Health Screening Drive,Screening,2026-06-19,East,Y,Y
BKG000836,RESIDENT_00358,EVT003,Zumba Fiesta,Workout Class,2026-04-28,West,Y,Y
BKG001616,RESIDENT_00663,EVT008,Strength & Mobility,Workout Class,2026-05-02,North,Y,Y
BKG002980,RESIDENT_01207,EVT008,Strength & Mobility,Workout Class,2026-06-14,West,Y,Y
BKG000641,RESIDENT_00279,EVT010,Nutrition Talk,Talk,2026-04-08,East,Y,Y
BKG000784,RESIDENT_00334,EVT009,Health Screening Drive,Screening,2026-06-08,North-East,Y,Y
BKG002594,RESIDENT_01049,EVT006,Aqua Aerobics,Workout Class,2026-06-06,West,Y,Y
BKG000794,RESIDENT_00339,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-21,North,Y,Y
BKG000078,RESIDENT_00029,EVT007,Weekend Cycling,Community Ride,2026-04-22,North-East,Y,Y
BKG001478,RESIDENT_00597,EVT010,Nutrition Talk,Talk,2026-04-30,Central,Y,Y
BKG000538,RESIDENT_00239,EVT003,Zumba Fiesta,Workout Class,2026-05-18,Central,Y,Y
BKG001927,RESIDENT_00790,EVT007,Weekend Cycling,Community Ride,2026-04-08,North,Y,Y
BKG002023,RESIDENT_00819,EVT001,Sunrise Mass Workout,Mass Workout,2026-05-03,Central,Y,Y
BKG001764,RESIDENT_00728,EVT003,Zumba Fiesta,Workout Class,2026-05-06,East,Y,N
BKG000704,RESIDENT_00301,EVT003,Zumba Fiesta,Workout Class,2026-04-03,West,Y,N
BKG002539,RESIDENT_01026,EVT007,Weekend Cycling,Community Ride,2026-05-04,West,Y,N
BKG003440,RESIDENT_01398,EVT008,Strength & Mobility,Workout Class,2026-06-01,North-East,Y,N
BKG003016,RESIDENT_01221,EVT006,Aqua Aerobics,Workout Class,2026-04-15,Central,Y,Y
BKG002118,RESIDENT_00853,EVT004,Brisk Walk @ Park,Community Walk,2026-06-02,North,Y,Y
BKG000855,RESIDENT_00365,EVT009,Health Screening Drive,Screening,2026-05-21,West,Y,Y
BKG002295,RESIDENT_00926,EVT010,Nutrition Talk,Talk,2026-04-01,Central,Y,Y
BKG001440,RESIDENT_00584,EVT004,Brisk Walk @ Park,Community Walk,2026-05-12,East,Y,Y
BKG001809,RESIDENT_00747,EVT002,HIIT @ CC,Workout Class,2026-05-11,North-East,Y,Y
BKG001064,RESIDENT_00446,EVT010,Nutrition Talk,Talk,2026-04-13,East,Y,Y
BKG001101,RESIDENT_00460,EVT007,Weekend Cycling,Community Ride,2026-06-25,North-East,Y,N
BKG000357,RESIDENT_00162,EVT004,Brisk Walk @ Park,Community Walk,2026-06-19,West,Y,Y
BKG000087,RESIDENT_00039,EVT008,Strength & Mobility,Workout Class,2026-05-09,Central,Y,Y
BKG001017,RESIDENT_00426,EVT007,Weekend Cycling,Community Ride,2026-04-05,West,Y,Y
BKG001060,RESIDENT_00444,EVT003,Zumba Fiesta,Workout Class,2026-06-02,North,Y,Y
BKG001349,RESIDENT_00556,EVT010,Nutrition Talk,Talk,2026-05-27,North-East,Y,Y
BKG003143,RESIDENT_01273,EVT005,Sundays@thePark,Community Walk,2026-05-24,Central,Y,N
BKG003045,RESIDENT_01236,EVT002,HIIT @ CC,Workout Class,2026-04-29,Central,Y,Y
BKG003417,RESIDENT_01388,EVT010,Nutrition Talk,Talk,2026-06-28,North-East,Y,Y
BKG002989,RESIDENT_01211,EVT001,Sunrise Mass Workout,Mass Workout,2026-05-11,North,Y,N
BKG003321,RESIDENT_01346,EVT009,Health Screening Drive,Screening,2026-05-04,Central,Y,N
BKG000393,RESIDENT_00180,EVT009,Health Screening Drive,Screening,2026-04-22,West,Y,Y
BKG003137,RESIDENT_01270,EVT004,Brisk Walk @ Park,Community Walk,2026-04-07,North,Y,Y
BKG002179,RESIDENT_00876,EVT007,Weekend Cycling,Community Ride,2026-04-09,North-East,Y,N
BKG000433,RESIDENT_00197,EVT010,Nutrition Talk,Talk,2026-04-24,Central,Y,Y
BKG003502,RESIDENT_01429,EVT010,Nutrition Talk,Talk,2026-05-16,North-East,Y,Y
BKG001618,RESIDENT_00663,EVT007,Weekend Cycling,Community Ride,2026-06-30,North,Y,N
BKG000020,RESIDENT_00007,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-20,Central,Y,Y
BKG000463,RESIDENT_00205,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-30,West,Y,Y
BKG000607,RESIDENT_00265,EVT007,Weekend Cycling,Community Ride,2026-05-10,East,Y,Y
BKG000785,RESIDENT_00336,EVT004,Brisk Walk @ Park,Community Walk,2026-05-15,East,Y,N
BKG000906,RESIDENT_00384,EVT003,Zumba Fiesta,Workout Class,2026-06-13,East,Y,N
BKG002335,RESIDENT_00937,EVT009,Health Screening Drive,Screening,2026-04-24,North,Y,Y
BKG001941,RESIDENT_00794,EVT009,Health Screening Drive,Screening,2026-05-04,North,Y,Y
BKG001487,RESIDENT_00601,EVT007,Weekend Cycling,Community Ride,2026-06-25,West,Y,Y
BKG000496,RESIDENT_00225,EVT010,Nutrition Talk,Talk,2026-06-29,West,Y,Y
BKG001071,RESIDENT_00447,EVT004,Brisk Walk @ Park,Community Walk,2026-05-20,Central,Y,Y
BKG001814,RESIDENT_00748,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-11,East,Y,Y
BKG003559,RESIDENT_01458,EVT006,Aqua Aerobics,Workout Class,2026-06-18,Central,Y,Y
BKG001689,RESIDENT_00690,EVT002,HIIT @ CC,Workout Class,2026-06-14,Central,Y,N
BKG000188,RESIDENT_00088,EVT003,Zumba Fiesta,Workout Class,2026-06-07,East,Y,Y
BKG002483,RESIDENT_00989,EVT003,Zumba Fiesta,Workout Class,2026-05-28,Central,Y,Y
BKG000646,RESIDENT_00280,EVT005,Sundays@thePark,Community Walk,2026-04-28,Central,Y,Y
BKG002537,RESIDENT_01024,EVT010,Nutrition Talk,Talk,2026-04-17,North-East,Y,Y
BKG001522,RESIDENT_00616,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-30,Central,Y,N
BKG002050,RESIDENT_00832,EVT004,Brisk Walk @ Park,Community Walk,2026-04-26,North-East,Y,Y
BKG001516,RESIDENT_00615,EVT005,Sundays@thePark,Community Walk,2026-04-07,West,Y,N
BKG003282,RESIDENT_01329,EVT001,Sunrise Mass Workout,Mass Workout,2026-05-04,North-East,Y,Y
BKG002780,RESIDENT_01127,EVT003,Zumba Fiesta,Workout Class,2026-04-22,Central,Y,Y
BKG002443,RESIDENT_00973,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-12,Central,Y,Y
BKG000870,RESIDENT_00371,EVT008,Strength & Mobility,Workout Class,2026-05-11,North-East,Y,Y
BKG003382,RESIDENT_01373,EVT004,Brisk Walk @ Park,Community Walk,2026-06-10,West,Y,Y
BKG003090,RESIDENT_01255,EVT008,Strength & Mobility,Workout Class,2026-06-23,Central,Y,Y
BKG002268,RESIDENT_00915,EVT007,Weekend Cycling,Community Ride,2026-06-28,North,Y,Y
BKG003553,RESIDENT_01453,EVT008,Strength & Mobility,Workout Class,2026-05-15,North-East,Y,Y
BKG002915,RESIDENT_01177,EVT007,Weekend Cycling,Community Ride,2026-05-25,Central,Y,Y
BKG002313,RESIDENT_00929,EVT005,Sundays@thePark,Community Walk,2026-05-10,West,Y,Y
BKG000288,RESIDENT_00133,EVT010,Nutrition Talk,Talk,2026-05-29,North-East,Y,Y
BKG003464,RESIDENT_01413,EVT006,Aqua Aerobics,Workout Class,2026-06-09,North-East,Y,Y
BKG002460,RESIDENT_00980,EVT005,Sundays@thePark,Community Walk,2026-05-20,North-East,Y,Y
BKG002016,RESIDENT_00818,EVT004,Brisk Walk @ Park,Community Walk,2026-05-16,East,Y,Y
BKG002138,RESIDENT_00863,EVT010,Nutrition Talk,Talk,2026-06-11,North,Y,Y
BKG001367,RESIDENT_00563,EVT010,Nutrition Talk,Talk,2026-04-08,Central,Y,N
BKG002672,RESIDENT_01085,EVT010,Nutrition Talk,Talk,2026-04-03,West,Y,Y
BKG001029,RESIDENT_00434,EVT005,Sundays@thePark,Community Walk,2026-05-17,Central,Y,Y
BKG002985,RESIDENT_01209,EVT007,Weekend Cycling,Community Ride,2026-06-20,North-East,Y,N
BKG000742,RESIDENT_00316,EVT006,Aqua Aerobics,Workout Class,2026-06-13,West,Y,N
BKG002477,RESIDENT_00988,EVT006,Aqua Aerobics,Workout Class,2026-06-02,West,Y,Y
